Plate Barcode,Well Position,Batch Id,Concentration (mg/mL),Concentration (ug/mL),Concentration (mM),Concentration (uM),Volume (uL),Volume (nL),Solvent,Formula Weight,Molecular Weight
BR00148929,A01,,,,,,0.0,0,,,
BR00148929,A02,,,,,,0.04,40,DMSO,,
BR00148929,A03,BRD-K45916615-066-04-9,4.53484,4534.84,10.0,10000.0,0.04,40,DMSO,453.484,357.148869726
BR00148929,A04,BRD-K01826548-003-12-9,3.13863,3138.63,10.0,10000.0,0.04,40,DMSO,313.863,313.180856852
BR00148929,A05,BRD-K49229349-065-04-9,9.23036,9230.36,10.0,10000.0,0.04,40,DMSO,923.036,824.399644032
BR00148929,A06,BRD-A99888680-001-04-6,4.264839,4264.839,10.0,10000.0,0.04,40,DMSO,426.4839,426.206718955
BR00148929,A07,BRD-K00003201-001-01-9,11.45049,11450.49,10.0,10000.0,0.04,40,DMSO,1145.049,1142.30974258
BR00148929,A08,BRD-A42167015-003-10-2,3.28834,3288.34,10.0,10000.0,0.04,40,DMSO,328.834,292.178692644
BR00148929,A09,BRD-A86073102-001-01-6,4.544727,4544.727,10.0,10000.0,0.04,40,DMSO,454.4727,454.227493328
BR00148929,A10,BRD-K86892782-001-18-9,2.562551,2562.551,10.0,10000.0,0.04,40,DMSO,256.2551,256.105921632
BR00148929,A11,BRD-K54770957-001-10-9,3.58842,3588.42,10.0,10000.0,0.04,40,DMSO,358.842,358.054276131
BR00148929,A12,BRD-K01827268-396-12-9,4.893319,4893.319,10.0,10000.0,0.04,40,DMSO,489.3319,489.11515575
BR00148929,A13,BRD-K01825102-001-06-9,4.275365,4275.365,10.0,10000.0,0.04,40,DMSO,427.5365,427.247106559
BR00148929,A14,BRD-A66563878-003-10-9,2.002795,2002.795,10.0,10000.0,0.04,40,DMSO,200.2795,200.131348522
BR00148929,A15,BRD-K04804440-001-24-9,3.313415,3313.415,10.0,10000.0,0.04,40,DMSO,331.3415,331.133219662
BR00148929,A16,BRD-K60240222-001-02-9,1.90154,1901.54,10.0,10000.0,0.04,40,DMSO,190.154,190.05897144
BR00148929,A17,BRD-K72728560-001-05-9,1.41128,1411.28,10.0,10000.0,0.04,40,DMSO,141.128,141.053826483
BR00148929,A18,BRD-K37111771-001-09-9,1.462339,1462.339,10.0,10000.0,0.04,40,DMSO,146.2339,146.153146596
BR00148929,A19,BRD-K68867920-051-11-5,4.99579,4995.79,10.0,10000.0,0.04,40,DMSO,499.579,383.166747749
BR00148929,A20,BRD-K29530284-001-08-9,2.982934,2982.934,10.0,10000.0,0.04,40,DMSO,298.2934,298.095356946
BR00148929,A21,BRD-K47887731-001-01-4,2.70715,2707.15,10.0,10000.0,0.04,40,DMSO,270.715,270.088353451
BR00148929,A22,BRD-K95957366-001-03-9,1.371823,1371.823,10.0,10000.0,0.04,40,DMSO,137.1823,137.095297367
BR00148929,A23,,,,,,0.0,0,,,
BR00148929,A24,,,,,,0.04,40,DMSO,,
BR00148929,B01,,,,,,0.0,0,,,
BR00148929,B02,,,,,,0.04,40,DMSO,,
BR00148929,B03,BRD-K78643075-001-11-6,4.20315,4203.15,10.0,10000.0,0.04,40,DMSO,420.315,419.089619837
BR00148929,B04,BRD-K01666936-453-01-9,5.902036,5902.036,10.0,10000.0,0.04,40,DMSO,590.2036,590.010913365
BR00148929,B05,BRD-A62731508-001-05-8,3.60444,3604.44,10.0,10000.0,0.04,40,DMSO,360.444,360.193674006
BR00148929,B06,BRD-K92988025-001-03-9,4.98962,4989.62,10.0,10000.0,0.04,40,DMSO,498.962,497.891192132
BR00148929,B07,BRD-K46731503-001-05-9,4.115769,4115.769,10.0,10000.0,0.04,40,DMSO,411.5769,411.277344055
BR00148929,B08,BRD-K36796419-011-03-9,8.69133,8691.33,10.0,10000.0,0.04,40,DMSO,869.133,868.566040656
BR00148929,B09,BRD-K39707084-001-05-8,2.844357,2844.357,10.0,10000.0,0.04,40,DMSO,284.4357,284.214015518
BR00148929,B10,BRD-K00003600-001-01-9,3.624647,3624.647,10.0,10000.0,0.04,40,DMSO,362.4647,362.199428086
BR00148929,B11,BRD-K05850076-001-02-9,4.24938,4249.38,10.0,10000.0,0.04,40,DMSO,424.938,424.111122307
BR00148929,B12,BRD-K07712545-001-01-8,18.79658,18796.58,10.0,10000.0,0.04,40,DMSO,1879.658,1877.556582089
BR00148929,B13,BRD-K01825703-001-01-9,5.835899,5835.899,10.0,10000.0,0.04,40,DMSO,583.5899,583.281319811
BR00148929,B14,BRD-K54314721-001-12-9,2.873568,2873.568,10.0,10000.0,0.04,40,DMSO,287.3568,287.163376931
BR00148929,B15,BRD-K53972329-001-12-9,3.06365,3063.65,10.0,10000.0,0.04,40,DMSO,306.365,306.159294606
BR00148929,B16,BRD-K69172251-001-16-9,2.98035,2980.35,10.0,10000.0,0.04,40,DMSO,298.035,296.939928001
BR00148929,B17,BRD-K67783091-001-31-9,3.75864,3758.64,10.0,10000.0,0.04,40,DMSO,375.864,375.140134897
BR00148929,B18,BRD-A19795905-001-10-9,3.66837,3668.37,10.0,10000.0,0.04,40,DMSO,366.837,366.102272181
BR00148929,B19,BRD-K77175907-002-01-3,4.186521,4186.520586,9.999994,9999.994234,0.04,40,DMSO,418.6523,400.334130652
BR00148929,B20,BRD-K00005354-001-01-9,5.306497,5306.497,10.0,10000.0,0.04,40,DMSO,530.6497,530.28796832
BR00148929,B21,BRD-K65866076-001-03-9,3.264326,3264.326,10.0,10000.0,0.04,40,DMSO,326.4326,326.199428086
BR00148929,B22,BRD-K52756523-001-25-4,8.350712,8350.711653,9.99997,9999.969647,0.04,40,DMSO,835.0737,834.545305214
BR00148929,B23,,,,,,0.0,0,,,
BR00148929,B24,,,,,,0.04,40,DMSO,,
BR00148929,C01,,,,,,0.0,0,,,
BR00148929,C02,,,,,,0.04,40,DMSO,,
BR00148929,C03,BRD-A92974210-001-02-9,6.278128,6278.128,10.0,10000.0,0.04,40,DMSO,627.8128,627.367221693
BR00148929,C04,BRD-K24023109-003-30-9,4.50979,4509.79,10.0,10000.0,0.04,40,DMSO,450.979,414.16132802
BR00148929,C05,BRD-K77038618-356-02-9,5.40534,5405.34,10.0,10000.0,0.04,40,DMSO,540.534,426.139113548
BR00148929,C06,BRD-K94720315-001-11-9,1.901522,1901.522,10.0,10000.0,0.04,40,DMSO,190.1522,190.02660868
BR00148929,C07,BRD-K25837718-001-03-8,8.27995,8279.95,10.0,10000.0,0.04,40,DMSO,827.995,827.466720543
BR00148929,C08,BRD-K44004064-001-08-9,2.382001,2382.001,10.0,10000.0,0.04,40,DMSO,238.2001,238.070204828
BR00148929,C09,BRD-K66876909-001-21-9,3.373461,3373.461,10.0,10000.0,0.04,40,DMSO,337.3461,337.143784348
BR00148929,C10,BRD-M29182745-001-02-2,1.071085,1071.085,10.0,10000.0,0.04,40,DMSO,107.1085,107.058243159
BR00148929,C11,BRD-K47780086-001-08-7,2.532578,2532.578,10.0,10000.0,0.04,40,DMSO,253.2578,253.117489371
BR00148929,C12,BRD-K51544265-001-12-9,5.015057,5015.057,10.0,10000.0,0.04,40,DMSO,501.5057,501.169999098
BR00148929,C13,BRD-K76927775-001-13-4,2.38157,2381.57,10.0,10000.0,0.04,40,DMSO,238.157,238.033819322
BR00148929,C14,BRD-K79926543-001-09-9,1.771601,1771.601,10.0,10000.0,0.04,40,DMSO,177.1601,177.053826483
BR00148929,C15,BRD-K89125793-001-31-9,2.47272,2472.72,10.0,10000.0,0.04,40,DMSO,247.272,247.062676609
BR00148929,C16,BRD-K67102207-001-19-9,1.642011,1642.011,10.0,10000.0,0.04,40,DMSO,164.2011,164.083729628
BR00148929,C17,BRD-K04288422-001-04-4,1.7814,1781.4,10.0,10000.0,0.04,40,DMSO,178.14,178.047738052
BR00148929,C18,BRD-K44779798-001-12-9,2.072243,2072.243,10.0,10000.0,0.04,40,DMSO,207.2243,207.110672659
BR00148929,C19,BRD-K28849549-001-17-9,1.531354,1531.354,10.0,10000.0,0.04,40,DMSO,153.1354,153.042593095
BR00148929,C20,BRD-K88809146-003-05-4,1.69651,1696.51,10.0,10000.0,0.04,40,DMSO,169.651,133.089149357
BR00148929,C21,BRD-K64931368-001-16-9,1.311729,1311.729,10.0,10000.0,0.04,40,DMSO,131.1729,131.094628665
BR00148929,C22,BRD-A77291778-001-23-9,2.913853,2913.853,10.0,10000.0,0.04,40,DMSO,291.3853,291.183443671
BR00148929,C23,,,,,,0.0,0,,,
BR00148929,C24,,,,,,0.04,40,DMSO,,
BR00148929,D01,,,,,,0.0,0,,,
BR00148929,D02,,,,,,0.04,40,DMSO,,
BR00148929,D03,BRD-K72925150-001-14-5,2.503764,2503.764,10.0,10000.0,0.04,40,DMSO,250.3764,250.193280076
BR00148929,D04,BRD-K16758059-001-02-9,5.210695,5210.695,10.0,10000.0,0.04,40,DMSO,521.0695,520.96954131
BR00148929,D05,BRD-K59866480-001-09-9,3.664071,3664.071,10.0,10000.0,0.04,40,DMSO,366.4071,366.146723814
BR00148929,D06,BRD-K33106058-001-25-9,2.432166,2432.166,10.0,10000.0,0.04,40,DMSO,243.2166,243.085520541
BR00148929,D07,BRD-K96137854-001-17-1,4.706838,4706.838,10.0,10000.0,0.04,40,DMSO,470.6838,470.33960996
BR00148929,D08,BRD-K54634444-001-04-2,3.844208,3844.208,10.0,10000.0,0.04,40,DMSO,384.4208,384.178417872
BR00148929,D09,BRD-K80738081-001-49-9,2.282433,2282.433,10.0,10000.0,0.04,40,DMSO,228.2433,228.07864425
BR00148929,D10,BRD-K92490248-001-07-9,2.40365,2403.65,10.0,10000.0,0.04,40,DMSO,240.365,239.973726948
BR00148929,D11,BRD-K01825679-311-01-9,4.98911,4989.11,10.0,10000.0,0.04,40,DMSO,498.911,498.140508179
BR00148929,D12,BRD-K48068743-001-02-9,4.26578,4265.78,10.0,10000.0,0.04,40,DMSO,426.578,426.220180302
BR00148929,D13,BRD-K23204545-001-23-9,2.46302,2463.02,10.0,10000.0,0.04,40,DMSO,246.302,246.02317956
BR00148929,D14,BRD-K85693895-001-04-9,3.57347,3573.47,10.0,10000.0,0.04,40,DMSO,357.347,357.064648624
BR00148929,D15,BRD-K49577446-001-12-9,4.344977,4344.977,10.0,10000.0,0.04,40,DMSO,434.4977,434.210466929
