Plate Barcode,Well Position,Batch Id,Concentration (mg/mL),Concentration (ug/mL),Concentration (mM),Concentration (uM),Volume (uL),Volume (nL),Solvent,Formula Weight,Molecular Weight
BR00149048,A01,,,,,,0.0,0,,,
BR00149048,A02,,,,,,0.04,40,DMSO,,
BR00149048,A03,BRD-K48812570-001-04-9,5.88273,5882.73,10.0,10000.0,0.04,40,DMSO,588.273,585.963349142
BR00149048,A04,BRD-K16547679-001-01-5,12.55417,12554.17,10.0,10000.0,0.04,40,DMSO,1255.417,1254.628474764
BR00149048,A05,BRD-K70578146-001-06-7,12.55417,12554.17,10.0,10000.0,0.04,40,DMSO,1255.417,1254.628474764
BR00149048,A06,BRD-K38323065-001-22-9,1.792157,1792.157,10.0,10000.0,0.04,40,DMSO,179.2157,179.094628665
BR00149048,A07,BRD-A66284731-001-03-9,1.642441,1642.441,10.0,10000.0,0.04,40,DMSO,164.2441,164.120115134
BR00149048,A08,BRD-K48722833-001-08-9,4.264806,4264.806,10.0,10000.0,0.04,40,DMSO,426.4806,426.195485567
BR00149048,A09,BRD-K01825685-001-02-9,3.8048,3804.8,10.0,10000.0,0.04,40,DMSO,380.48,380.209992772
BR00149048,A10,BRD-A59747053-003-01-3,2.67751,2677.51,10.0,10000.0,0.04,40,DMSO,267.751,231.125928793
BR00149048,A11,BRD-K07625016-001-01-2,4.105888,4105.888,10.0,10000.0,0.04,40,DMSO,410.5888,410.282095082
BR00149048,A12,BRD-A16665823-008-12-4,4.74789,4747.89,10.0,10000.0,0.04,40,DMSO,474.789,410.017802365
BR00149048,A13,BRD-K45114938-236-03-4,5.62572,5625.72,10.0,10000.0,0.04,40,DMSO,562.572,539.114454181
BR00149048,A14,BRD-K00004663-001-01-9,2.1729,2172.9,10.0,10000.0,0.04,40,DMSO,217.29,217.067368057
BR00149048,A15,BRD-K00003655-001-01-9,3.244565,3244.565,10.0,10000.0,0.04,40,DMSO,324.4565,324.20893014
BR00149048,A16,BRD-K40227168-001-13-9,2.943908,2943.908,10.0,10000.0,0.04,40,DMSO,294.3908,294.173213336
BR00149048,A17,BRD-K62734952-001-02-9,2.463016,2463.016,10.0,10000.0,0.04,40,DMSO,246.3016,246.125594442
BR00149048,A18,BRD-K00003582-015-01-9,10.69217,10692.17,10.0,10000.0,0.04,40,DMSO,1069.217,1068.426954962
BR00149048,A19,BRD-K18207669-001-03-9,3.724547,3724.547,10.0,10000.0,0.04,40,DMSO,372.4547,372.193674006
BR00149048,A20,BRD-K38775274-001-23-9,3.924611,3924.611,10.0,10000.0,0.04,40,DMSO,392.4611,392.199902243
BR00149048,A21,BRD-K44827188-001-11-9,4.21297,4212.97,10.0,10000.0,0.04,40,DMSO,421.297,420.010218428
BR00149048,A22,BRD-K10759144-001-04-3,1.501299,1501.299,10.0,10000.0,0.04,40,DMSO,150.1299,150.05282343
BR00149048,A23,,,,,,0.0,0,,,
BR00149048,A24,,,,,,0.04,40,DMSO,,
BR00149048,B01,,,,,,0.0,0,,,
BR00149048,B02,,,,,,0.04,40,DMSO,,
BR00149048,B03,BRD-K48812570-001-04-9,5.88273,5882.73,10.0,10000.0,0.04,40,DMSO,588.273,585.963349142
BR00149048,B04,BRD-K16547679-001-01-5,12.55417,12554.17,10.0,10000.0,0.04,40,DMSO,1255.417,1254.628474764
BR00149048,B05,BRD-K70578146-001-06-7,12.55417,12554.17,10.0,10000.0,0.04,40,DMSO,1255.417,1254.628474764
BR00149048,B06,BRD-K38323065-001-22-9,1.792157,1792.157,10.0,10000.0,0.04,40,DMSO,179.2157,179.094628665
BR00149048,B07,BRD-A66284731-001-03-9,1.642441,1642.441,10.0,10000.0,0.04,40,DMSO,164.2441,164.120115134
BR00149048,B08,BRD-K48722833-001-08-9,4.264806,4264.806,10.0,10000.0,0.04,40,DMSO,426.4806,426.195485567
BR00149048,B09,BRD-K01825685-001-02-9,3.8048,3804.8,10.0,10000.0,0.04,40,DMSO,380.48,380.209992772
BR00149048,B10,BRD-A59747053-003-01-3,2.67751,2677.51,10.0,10000.0,0.04,40,DMSO,267.751,231.125928793
BR00149048,B11,BRD-K07625016-001-01-2,4.105888,4105.888,10.0,10000.0,0.04,40,DMSO,410.5888,410.282095082
BR00149048,B12,BRD-A16665823-008-12-4,4.74789,4747.89,10.0,10000.0,0.04,40,DMSO,474.789,410.017802365
BR00149048,B13,BRD-K45114938-236-03-4,5.62572,5625.72,10.0,10000.0,0.04,40,DMSO,562.572,539.114454181
BR00149048,B14,BRD-K00004663-001-01-9,2.1729,2172.9,10.0,10000.0,0.04,40,DMSO,217.29,217.067368057
BR00149048,B15,BRD-K00003655-001-01-9,3.244565,3244.565,10.0,10000.0,0.04,40,DMSO,324.4565,324.20893014
BR00149048,B16,BRD-K40227168-001-13-9,2.943908,2943.908,10.0,10000.0,0.04,40,DMSO,294.3908,294.173213336
BR00149048,B17,BRD-K62734952-001-02-9,2.463016,2463.016,10.0,10000.0,0.04,40,DMSO,246.3016,246.125594442
BR00149048,B18,BRD-K00003582-015-01-9,10.69217,10692.17,10.0,10000.0,0.04,40,DMSO,1069.217,1068.426954962
BR00149048,B19,BRD-K18207669-001-03-9,3.724547,3724.547,10.0,10000.0,0.04,40,DMSO,372.4547,372.193674006
BR00149048,B20,BRD-K38775274-001-23-9,3.924611,3924.611,10.0,10000.0,0.04,40,DMSO,392.4611,392.199902243
BR00149048,B21,BRD-K44827188-001-11-9,4.21297,4212.97,10.0,10000.0,0.04,40,DMSO,421.297,420.010218428
BR00149048,B22,BRD-K10759144-001-04-3,1.501299,1501.299,10.0,10000.0,0.04,40,DMSO,150.1299,150.05282343
BR00149048,B23,,,,,,0.0,0,,,
BR00149048,B24,,,,,,0.04,40,DMSO,,
BR00149048,C01,,,,,,0.0,0,,,
BR00149048,C02,,,,,,0.04,40,DMSO,,
BR00149048,C03,BRD-K48812570-001-04-9,5.88273,5882.73,10.0,10000.0,0.04,40,DMSO,588.273,585.963349142
BR00149048,C04,BRD-K16547679-001-01-5,12.55417,12554.17,10.0,10000.0,0.04,40,DMSO,1255.417,1254.628474764
BR00149048,C05,BRD-K70578146-001-06-7,12.55417,12554.17,10.0,10000.0,0.04,40,DMSO,1255.417,1254.628474764
