Plate Barcode,Well Position,Batch Id,Concentration (mg/mL),Concentration (ug/mL),Concentration (mM),Concentration (uM),Volume (uL),Volume (nL),Solvent,Formula Weight,Molecular Weight
BR00148923,P02,,,,,,0.04,40,DMSO,,
BR00148923,P03,BRD-K73881242-003-06-1,5.13875,5138.75,10.0,10000.0,0.04,40,DMSO,513.875,476.076926013
BR00148923,P04,BRD-A64092382-003-20-9,1.792588,1792.588,10.0,10000.0,0.04,40,DMSO,179.2588,179.131014171
BR00148923,P05,BRD-M08959712-001-02-7,2.804024,2804.024,10.0,10000.0,0.04,40,DMSO,280.4024,280.203844762
BR00148923,P06,BRD-K35245662-001-02-9,5.406876,5406.876,10.0,10000.0,0.04,40,DMSO,540.6876,540.308703762
BR00148923,P07,BRD-K24548560-342-03-9,8.72878,8728.78,10.0,10000.0,0.04,40,DMSO,872.878,872.054632394
BR00148923,P08,BRD-K55853390-001-15-9,2.361363,2361.363,10.0,10000.0,0.04,40,DMSO,236.1363,236.028065242
BR00148923,P09,BRD-K15179879-001-11-9,7.199099,7199.099,10.0,10000.0,0.04,40,DMSO,719.9099,719.425799203
BR00148923,P10,BRD-M00027710-001-05-9,7.74768,7747.68,10.0,10000.0,0.04,40,DMSO,774.768,773.288608341
BR00148923,P11,BRD-A99388803-001-01-5,3.094006,3094.006,10.0,10000.0,0.04,40,DMSO,309.4006,309.194008357
BR00148923,P12,BRD-K01826030-001-01-9,4.893319,4893.319,10.0,10000.0,0.04,40,DMSO,489.3319,489.11515575
BR00148923,P13,BRD-K82928892-001-04-1,4.126478,4126.478,10.0,10000.0,0.04,40,DMSO,412.6478,412.334130652
BR00148923,P14,BRD-K81473089-003-27-9,2.34725,2347.25,10.0,10000.0,0.04,40,DMSO,234.725,198.115698458
BR00148923,P15,BRD-A64698388-003-01-7,3.93947,3939.47,10.0,10000.0,0.04,40,DMSO,393.947,357.230393863
BR00148923,P16,BRD-K33742430-001-01-1,5.61538,5615.38,10.0,10000.0,0.04,40,DMSO,561.538,560.2419925
BR00148923,P17,BRD-A38706605-001-01-2,3.605301,3605.301,10.0,10000.0,0.04,40,DMSO,360.5301,360.266445018
BR00148923,P18,BRD-K26739552-003-15-4,2.96792,2967.92,10.0,10000.0,0.04,40,DMSO,296.792,260.152477894
BR00148923,P19,BRD-K56156805-001-09-6,2.602487,2602.487,10.0,10000.0,0.04,40,DMSO,260.2487,260.09094027
BR00148923,P20,BRD-K81101512-234-01-9,2.591941,2591.941,10.0,10000.0,0.04,40,DMSO,259.1941,138.008195224
BR00148923,P21,BRD-M93148412-001-02-6,5.636381,5636.381,10.0,10000.0,0.04,40,DMSO,563.6381,563.251917165
BR00148923,P22,BRD-K46937689-001-16-9,1.882258,1882.258,10.0,10000.0,0.04,40,DMSO,188.2258,188.094963016
BR00148923,P23,,,,,,0.0,0,,,
BR00148923,P24,,,,,,0.04,40,DMSO,,
