Plate Barcode,Well Position,Batch Id,Concentration (mg/mL),Concentration (ug/mL),Concentration (mM),Concentration (uM),Volume (uL),Volume (nL),Solvent,Formula Weight,Molecular Weight
BR00148926,A01,,,,,,0.0,0,,,
BR00148926,A02,,,,,,0.04,40,DMSO,,
BR00148926,A03,BRD-K00003123-001-01-9,4.35221,4352.21,10.0,10000.0,0.04,40,DMSO,435.221,434.029708316
BR00148926,A04,BRD-K76674262-001-05-9,5.456213,5456.213,10.0,10000.0,0.04,40,DMSO,545.6213,545.262481851
BR00148926,A05,BRD-K06033833-003-03-3,2.10662,2106.62,10.0,10000.0,0.04,40,DMSO,210.662,174.111675712
BR00148926,A06,BRD-A68997559-065-04-5,5.45605,5456.05,10.0,10000.0,0.04,40,DMSO,545.605,447.269298563
BR00148926,A07,BRD-A84174393-001-34-3,3.51401,3514.01,10.0,10000.0,0.04,40,DMSO,351.401,351.034747299
BR00148926,A08,BRD-K43164539-001-12-9,4.085714,4085.714,10.0,10000.0,0.04,40,DMSO,408.5714,408.28757439
BR00148926,A09,BRD-K36756879-003-08-7,4.31952,4319.52,10.0,10000.0,0.04,40,DMSO,431.952,395.209658421
BR00148926,A10,BRD-K45071273-001-27-9,2.643633,2643.633,10.0,10000.0,0.04,40,DMSO,264.3633,264.183778022
BR00148926,A11,BRD-K10974103-001-23-9,3.28147,3281.47,10.0,10000.0,0.04,40,DMSO,328.147,327.006513259
BR00148926,A12,BRD-K06902185-001-22-7,2.092483,2092.483,10.0,10000.0,0.04,40,DMSO,209.2483,209.127660127
BR00148926,A13,BRD-A75224450-001-03-9,2.973914,2973.914,10.0,10000.0,0.04,40,DMSO,297.3914,297.172878985
BR00148926,A14,BRD-K31731454-237-04-9,2.683164,2683.164,10.0,10000.0,0.04,40,DMSO,268.3164,228.075958908
BR00148926,A15,BRD-K46435977-003-11-1,3.60797,3607.97,10.0,10000.0,0.04,40,DMSO,360.797,324.154603158
BR00148926,A16,BRD-K31139048-001-04-0,3.305042,3305.042,10.0,10000.0,0.04,40,DMSO,330.5042,330.255880332
BR00148926,A17,BRD-K00003139-001-01-9,4.574847,4574.847,10.0,10000.0,0.04,40,DMSO,457.4847,457.186478318
BR00148926,A18,BRD-K04111260-001-14-9,3.47237,3472.37,10.0,10000.0,0.04,40,DMSO,347.237,346.08509793
BR00148926,A19,BRD-K51247865-001-02-9,4.04452,4044.52,10.0,10000.0,0.04,40,DMSO,404.452,404.109372677
BR00148926,A20,BRD-K22938173-003-02-9,6.01281,6012.81,10.0,10000.0,0.04,40,DMSO,601.281,564.359693474
BR00148926,A21,BRD-K00739965-001-02-9,2.862794,2862.794,10.0,10000.0,0.04,40,DMSO,286.2794,286.084123558
BR00148926,A22,BRD-K77821588-332-02-9,5.225464,5225.464,10.0,10000.0,0.04,40,DMSO,522.5464,290.178298714
BR00148926,A23,,,,,,0.0,0,,,
BR00148926,A24,,,,,,0.04,40,DMSO,,
BR00148926,B01,,,,,,0.0,0,,,
BR00148926,B02,,,,,,0.04,40,DMSO,,
BR00148926,B03,BRD-K45330754-001-27-9,2.683502,2683.502,10.0,10000.0,0.04,40,DMSO,268.3502,268.146329884
BR00148926,B04,BRD-K92049597-001-21-9,2.532626,2532.626,10.0,10000.0,0.04,40,DMSO,253.2626,253.107593387
BR00148926,B05,BRD-K44276885-001-08-2,6.456048,6456.048,10.0,10000.0,0.04,40,DMSO,645.6048,645.248013577
BR00148926,B06,BRD-A44863528-001-13-2,3.3441,3344.1,10.0,10000.0,0.04,40,DMSO,334.41,334.18925733
