Plate Barcode,Well Position,Batch Id,Concentration (mg/mL),Concentration (ug/mL),Concentration (mM),Concentration (uM),Volume (uL),Volume (nL),Solvent,Formula Weight,Molecular Weight
BR00149049,A01,,,,,,0.0,0,,,
BR00149049,A02,,,,,,0.04,40,DMSO,,
BR00149049,A03,BRD-A29700858-304-02-6,6.167361,6167.361,10.0,10000.0,0.04,40,DMSO,616.7361,570.355653954
BR00149049,A04,BRD-K65904673-003-02-9,4.19948,4199.48,10.0,10000.0,0.04,40,DMSO,419.948,383.232125197
BR00149049,A05,BRD-K57569181-001-30-9,2.78307,2783.07,10.0,10000.0,0.04,40,DMSO,278.307,278.137890462
BR00149049,A06,BRD-K01826330-001-02-9,3.00783,3007.83,10.0,10000.0,0.04,40,DMSO,300.783,300.102940883
BR00149049,A07,BRD-A00218260-001-03-4,3.463726,3463.726,10.0,10000.0,0.04,40,DMSO,346.3726,346.128154932
BR00149049,A08,BRD-K71210479-001-06-9,2.052515,2052.515,10.0,10000.0,0.04,40,DMSO,205.2515,205.131408101
BR00149049,A09,BRD-A03061970-003-07-3,3.51831,3518.31,10.0,10000.0,0.04,40,DMSO,351.831,315.169524941
BR00149049,A10,BRD-K33710385-001-28-9,1.66243,1662.43,10.0,10000.0,0.04,40,DMSO,166.243,166.05646902
BR00149049,A11,BRD-K77947974-001-16-3,4.755727,4755.727,10.0,10000.0,0.04,40,DMSO,475.5727,475.243519039
BR00149049,A12,BRD-A98378129-001-04-9,4.143341,4143.341,10.0,10000.0,0.04,40,DMSO,414.3341,414.082741529
BR00149049,A13,BRD-K45542189-048-22-1,3.914168,3914.168,10.0,10000.0,0.04,40,DMSO,391.4168,199.168462309
BR00149049,A14,BRD-K79892937-236-04-9,3.78374,3783.74,10.0,10000.0,0.04,40,DMSO,378.374,354.056194248
BR00149049,A15,BRD-K51677086-001-12-0,8.620527,8620.527,10.0,10000.0,0.04,40,DMSO,862.0527,861.508585357
BR00149049,A16,BRD-K08586861-001-02-9,4.16466,4164.66,10.0,10000.0,0.04,40,DMSO,416.466,416.120606065
BR00149049,A17,BRD-K74501079-335-01-9,7.85015,7850.15,10.0,10000.0,0.04,40,DMSO,785.015,748.508525778
BR00149049,A18,BRD-K32842773-304-05-4,4.733902,4733.902,10.0,10000.0,0.04,40,DMSO,473.3902,427.149183429
BR00149049,A19,BRD-A42083487-065-05-9,15.1363,15136.3,10.0,10000.0,0.04,40,DMSO,1513.63,1414.518979905
BR00149049,A20,BRD-K19416115-001-08-9,4.073136,4073.136,10.0,10000.0,0.04,40,DMSO,407.3136,407.118079357
BR00149049,A21,BRD-K82259334-003-02-7,2.75729,2757.29,10.0,10000.0,0.04,40,DMSO,275.729,239.115758037
BR00149049,A22,BRD-K52020312-001-33-9,1.71154,1711.54,10.0,10000.0,0.04,40,DMSO,171.154,171.064391169
BR00149049,A23,,,,,,0.0,0,,,
BR00149049,A24,,,,,,0.04,40,DMSO,,
BR00149049,B01,,,,,,0.0,0,,,
BR00149049,B02,,,,,,0.04,40,DMSO,,
BR00149049,B03,BRD-A29700858-304-02-6,6.167361,6167.361,10.0,10000.0,0.04,40,DMSO,616.7361,570.355653954
BR00149049,B04,BRD-K65904673-003-02-9,4.19948,4199.48,10.0,10000.0,0.04,40,DMSO,419.948,383.232125197
BR00149049,B05,BRD-K57569181-001-30-9,2.78307,2783.07,10.0,10000.0,0.04,40,DMSO,278.307,278.137890462
BR00149049,B06,BRD-K01826330-001-02-9,3.00783,3007.83,10.0,10000.0,0.04,40,DMSO,300.783,300.102940883
BR00149049,B07,BRD-A00218260-001-03-4,3.463726,3463.726,10.0,10000.0,0.04,40,DMSO,346.3726,346.128154932
BR00149049,B08,BRD-K71210479-001-06-9,2.052515,2052.515,10.0,10000.0,0.04,40,DMSO,205.2515,205.131408101
BR00149049,B09,BRD-A03061970-003-07-3,3.51831,3518.31,10.0,10000.0,0.04,40,DMSO,351.831,315.169524941
BR00149049,B10,BRD-K33710385-001-28-9,1.66243,1662.43,10.0,10000.0,0.04,40,DMSO,166.243,166.05646902
BR00149049,B11,BRD-K77947974-001-16-3,4.755727,4755.727,10.0,10000.0,0.04,40,DMSO,475.5727,475.243519039
BR00149049,B12,BRD-A98378129-001-04-9,4.143341,4143.341,10.0,10000.0,0.04,40,DMSO,414.3341,414.082741529
BR00149049,B13,BRD-K45542189-048-22-1,3.914168,3914.168,10.0,10000.0,0.04,40,DMSO,391.4168,199.168462309
BR00149049,B14,BRD-K79892937-236-04-9,3.78374,3783.74,10.0,10000.0,0.04,40,DMSO,378.374,354.056194248
BR00149049,B15,BRD-K51677086-001-12-0,8.620527,8620.527,10.0,10000.0,0.04,40,DMSO,862.0527,861.508585357
BR00149049,B16,BRD-K08586861-001-02-9,4.16466,4164.66,10.0,10000.0,0.04,40,DMSO,416.466,416.120606065
BR00149049,B17,BRD-K74501079-335-01-9,7.85015,7850.15,10.0,10000.0,0.04,40,DMSO,785.015,748.508525778
BR00149049,B18,BRD-K32842773-304-05-4,4.733902,4733.902,10.0,10000.0,0.04,40,DMSO,473.3902,427.149183429
BR00149049,B19,BRD-A42083487-065-05-9,15.1363,15136.3,10.0,10000.0,0.04,40,DMSO,1513.63,1414.518979905
BR00149049,B20,BRD-K19416115-001-08-9,4.073136,4073.136,10.0,10000.0,0.04,40,DMSO,407.3136,407.118079357
BR00149049,B21,BRD-K82259334-003-02-7,2.75729,2757.29,10.0,10000.0,0.04,40,DMSO,275.729,239.115758037
BR00149049,B22,BRD-K52020312-001-33-9,1.71154,1711.54,10.0,10000.0,0.04,40,DMSO,171.154,171.064391169
BR00149049,B23,,,,,,0.0,0,,,
BR00149049,B24,,,,,,0.04,40,DMSO,,
BR00149049,C01,,,,,,0.0,0,,,
BR00149049,C02,,,,,,0.04,40,DMSO,,
BR00149049,C03,BRD-A29700858-304-02-6,6.167361,6167.361,10.0,10000.0,0.04,40,DMSO,616.7361,570.355653954
BR00149049,C04,BRD-K65904673-003-02-9,4.19948,4199.48,10.0,10000.0,0.04,40,DMSO,419.948,383.232125197
BR00149049,C05,BRD-K57569181-001-30-9,2.78307,2783.07,10.0,10000.0,0.04,40,DMSO,278.307,278.137890462
BR00149049,C06,BRD-K01826330-001-02-9,3.00783,3007.83,10.0,10000.0,0.04,40,DMSO,300.783,300.102940883
BR00149049,C07,BRD-A00218260-001-03-4,3.463726,3463.726,10.0,10000.0,0.04,40,DMSO,346.3726,346.128154932
BR00149049,C08,BRD-K71210479-001-06-9,2.052515,2052.515,10.0,10000.0,0.04,40,DMSO,205.2515,205.131408101
BR00149049,C09,BRD-A03061970-003-07-3,3.51831,3518.31,10.0,10000.0,0.04,40,DMSO,351.831,315.169524941
BR00149049,C10,BRD-K33710385-001-28-9,1.66243,1662.43,10.0,10000.0,0.04,40,DMSO,166.243,166.05646902
BR00149049,C11,BRD-K77947974-001-16-3,4.755727,4755.727,10.0,10000.0,0.04,40,DMSO,475.5727,475.243519039
BR00149049,C12,BRD-A98378129-001-04-9,4.143341,4143.341,10.0,10000.0,0.04,40,DMSO,414.3341,414.082741529
BR00149049,C13,BRD-K45542189-048-22-1,3.914168,3914.168,10.0,10000.0,0.04,40,DMSO,391.4168,199.168462309
BR00149049,C14,BRD-K79892937-236-04-9,3.78374,3783.74,10.0,10000.0,0.04,40,DMSO,378.374,354.056194248
BR00149049,C15,BRD-K51677086-001-12-0,8.620527,8620.527,10.0,10000.0,0.04,40,DMSO,862.0527,861.508585357
BR00149049,C16,BRD-K08586861-001-02-9,4.16466,4164.66,10.0,10000.0,0.04,40,DMSO,416.466,416.120606065
BR00149049,C17,BRD-K74501079-335-01-9,7.85015,7850.15,10.0,10000.0,0.04,40,DMSO,785.015,748.508525778
BR00149049,C18,BRD-K32842773-304-05-4,4.733902,4733.902,10.0,10000.0,0.04,40,DMSO,473.3902,427.149183429
BR00149049,C19,BRD-A42083487-065-05-9,15.1363,15136.3,10.0,10000.0,0.04,40,DMSO,1513.63,1414.518979905
BR00149049,C20,BRD-K19416115-001-08-9,4.073136,4073.136,10.0,10000.0,0.04,40,DMSO,407.3136,407.118079357
BR00149049,C21,BRD-K82259334-003-02-7,2.75729,2757.29,10.0,10000.0,0.04,40,DMSO,275.729,239.115758037
BR00149049,C22,BRD-K52020312-001-33-9,1.71154,1711.54,10.0,10000.0,0.04,40,DMSO,171.154,171.064391169
BR00149049,C23,,,,,,0.0,0,,,
BR00149049,C24,,,,,,0.04,40,DMSO,,
BR00149049,D01,,,,,,0.0,0,,,
BR00149049,D02,,,,,,0.04,40,DMSO,,
BR00149049,D03,BRD-A52977603-001-01-2,18.822947,18822.947,10.0,10000.0,0.04,40,DMSO,1882.2947,1881.070533154
BR00149049,D04,BRD-K60348325-001-10-9,3.85574,3855.74,10.0,10000.0,0.04,40,DMSO,385.574,385.263825491
BR00149049,D05,BRD-K15318383-201-01-5,8.399626,8399.626,10.0,10000.0,0.04,40,DMSO,839.9626,822.403785936
BR00149049,D06,BRD-K12742203-003-01-7,3.455246,3455.245509,10.048788,10048.787714,0.04,40,DMSO,343.847,307.157228921
BR00149049,D07,BRD-K00077635-304-01-2,5.66363,5663.63,10.0,10000.0,0.04,40,DMSO,566.363,519.134429687
BR00149049,D08,BRD-K33813875-003-01-8,6.01281,6012.81,10.0,10000.0,0.04,40,DMSO,601.281,564.359693474
BR00149049,D09,BRD-K31965398-003-05-9,8.4834,8483.4,10.0,10000.0,0.04,40,DMSO,848.34,811.341520011
BR00149049,D10,BRD-K72259270-003-28-9,3.25873,3258.73,10.0,10000.0,0.04,40,DMSO,325.873,289.204179113
BR00149049,D11,BRD-K91263825-003-23-9,2.99838,2998.38,10.0,10000.0,0.04,40,DMSO,299.838,263.167399677
BR00149049,D12,BRD-K94250879-001-01-9,1.991608,1991.608,10.0,10000.0,0.04,40,DMSO,199.1608,199.048072403
BR00149049,D13,BRD-K00003542-001-01-9,8.430527,8430.527,10.0,10000.0,0.04,40,DMSO,843.0527,842.514005086
BR00149049,D14,BRD-K01292756-001-35-9,4.615462,4615.462,10.0,10000.0,0.04,40,DMSO,461.5462,461.227868975
BR00149049,D15,BRD-K96037667-001-04-9,3.404559,3404.559,10.0,10000.0,0.04,40,DMSO,340.4559,340.203844762
BR00149049,D16,BRD-K18324993-001-01-6,2.934458,2934.458,10.0,10000.0,0.04,40,DMSO,293.4458,293.214349869
BR00149049,D17,BRD-K00003660-001-01-9,6.398186,6398.186,10.0,10000.0,0.04,40,DMSO,639.8186,639.377117677
BR00149049,D18,BRD-K69907333-001-11-9,2.442609,2442.609,10.0,10000.0,0.04,40,DMSO,244.2609,244.089957865
BR00149049,D19,BRD-K93231391-300-08-9,2.77232,2772.32,10.0,10000.0,0.04,40,DMSO,277.232,204.183778022
BR00149049,D20,BRD-K62200014-003-11-3,2.92549,2925.49,10.0,10000.0,0.04,40,DMSO,292.549,254.996617275
BR00149049,D21,BRD-K32311154-001-01-0,4.054482,4054.482,10.0,10000.0,0.04,40,DMSO,405.4482,405.201218999
BR00149049,D22,BRD-A54635441-078-09-1,5.47705,5477.05,10.0,10000.0,0.04,40,DMSO,547.705,339.219829177
BR00149049,D23,,,,,,0.0,0,,,
BR00149049,D24,,,,,,0.04,40,DMSO,,
BR00149049,E01,,,,,,0.0,0,,,
BR00149049,E02,,,,,,0.04,40,DMSO,,
BR00149049,E03,BRD-A52977603-001-01-2,18.822947,18822.947,10.0,10000.0,0.04,40,DMSO,1882.2947,1881.070533154
BR00149049,E04,BRD-K60348325-001-10-9,3.85574,3855.74,10.0,10000.0,0.04,40,DMSO,385.574,385.263825491
BR00149049,E05,BRD-K15318383-201-01-5,8.399626,8399.626,10.0,10000.0,0.04,40,DMSO,839.9626,822.403785936
BR00149049,E06,BRD-K12742203-003-01-7,3.455246,3455.245509,10.048788,10048.787714,0.04,40,DMSO,343.847,307.157228921
BR00149049,E07,BRD-K00077635-304-01-2,5.66363,5663.63,10.0,10000.0,0.04,40,DMSO,566.363,519.134429687
BR00149049,E08,BRD-K33813875-003-01-8,6.01281,6012.81,10.0,10000.0,0.04,40,DMSO,601.281,564.359693474
BR00149049,E09,BRD-K31965398-003-05-9,8.4834,8483.4,10.0,10000.0,0.04,40,DMSO,848.34,811.341520011
BR00149049,E10,BRD-K72259270-003-28-9,3.25873,3258.73,10.0,10000.0,0.04,40,DMSO,325.873,289.204179113
BR00149049,E11,BRD-K91263825-003-23-9,2.99838,2998.38,10.0,10000.0,0.04,40,DMSO,299.838,263.167399677
BR00149049,E12,BRD-K94250879-001-01-9,1.991608,1991.608,10.0,10000.0,0.04,40,DMSO,199.1608,199.048072403
BR00149049,E13,BRD-K00003542-001-01-9,8.430527,8430.527,10.0,10000.0,0.04,40,DMSO,843.0527,842.514005086
BR00149049,E14,BRD-K01292756-001-35-9,4.615462,4615.462,10.0,10000.0,0.04,40,DMSO,461.5462,461.227868975
BR00149049,E15,BRD-K96037667-001-04-9,3.404559,3404.559,10.0,10000.0,0.04,40,DMSO,340.4559,340.203844762
BR00149049,E16,BRD-K18324993-001-01-6,2.934458,2934.458,10.0,10000.0,0.04,40,DMSO,293.4458,293.214349869
BR00149049,E17,BRD-K00003660-001-01-9,6.398186,6398.186,10.0,10000.0,0.04,40,DMSO,639.8186,639.377117677
BR00149049,E18,BRD-K69907333-001-11-9,2.442609,2442.609,10.0,10000.0,0.04,40,DMSO,244.2609,244.089957865
BR00149049,E19,BRD-K93231391-300-08-9,2.77232,2772.32,10.0,10000.0,0.04,40,DMSO,277.232,204.183778022
BR00149049,E20,BRD-K62200014-003-11-3,2.92549,2925.49,10.0,10000.0,0.04,40,DMSO,292.549,254.996617275
BR00149049,E21,BRD-K32311154-001-01-0,4.054482,4054.482,10.0,10000.0,0.04,40,DMSO,405.4482,405.201218999
BR00149049,E22,BRD-A54635441-078-09-1,5.47705,5477.05,10.0,10000.0,0.04,40,DMSO,547.705,339.219829177
BR00149049,E23,,,,,,0.0,0,,,
BR00149049,E24,,,,,,0.04,40,DMSO,,
BR00149049,F01,,,,,,0.0,0,,,
BR00149049,F02,,,,,,0.04,40,DMSO,,
BR00149049,F03,BRD-A52977603-001-01-2,18.822947,18822.947,10.0,10000.0,0.04,40,DMSO,1882.2947,1881.070533154
BR00149049,F04,BRD-K60348325-001-10-9,3.85574,3855.74,10.0,10000.0,0.04,40,DMSO,385.574,385.263825491
BR00149049,F05,BRD-K15318383-201-01-5,8.399626,8399.626,10.0,10000.0,0.04,40,DMSO,839.9626,822.403785936
BR00149049,F06,BRD-K12742203-003-01-7,3.455246,3455.245509,10.048788,10048.787714,0.04,40,DMSO,343.847,307.157228921
BR00149049,F07,BRD-K00077635-304-01-2,5.66363,5663.63,10.0,10000.0,0.04,40,DMSO,566.363,519.134429687
BR00149049,F08,BRD-K33813875-003-01-8,6.01281,6012.81,10.0,10000.0,0.04,40,DMSO,601.281,564.359693474
BR00149049,F09,BRD-K31965398-003-05-9,8.4834,8483.4,10.0,10000.0,0.04,40,DMSO,848.34,811.341520011
BR00149049,F10,BRD-K72259270-003-28-9,3.25873,3258.73,10.0,10000.0,0.04,40,DMSO,325.873,289.204179113
BR00149049,F11,BRD-K91263825-003-23-9,2.99838,2998.38,10.0,10000.0,0.04,40,DMSO,299.838,263.167399677
BR00149049,F12,BRD-K94250879-001-01-9,1.991608,1991.608,10.0,10000.0,0.04,40,DMSO,199.1608,199.048072403
