gene_symbol,entrez_id,compound_id
PGR,5241,BRD-A00758722
PDE4A,5141,BRD-A00827783
ADRB1,153,BRD-A00993607
ADRB2,154,BRD-A00993607
AKR1C1,1645,BRD-A01078468
ESR1,2099,BRD-A01078468
ESR2,2100,BRD-A01078468
CACNA1C,775,BRD-A01098288
CACNA1C,775,BRD-A01563671
CACNA1D,776,BRD-A01563671
CACNA1F,778,BRD-A01563671
CACNA1S,779,BRD-A01563671
ACHE,43,BRD-A01976766
CACNA1D,776,BRD-A02006392
CACNA2D1,781,BRD-A02006392
KCNN4,3783,BRD-A02006392
NR3C1,2908,BRD-A02180903
BCHE,590,BRD-A02710418
CACNA1B,774,BRD-A02743701
TYMS,7298,BRD-A03757454
ADRB1,153,BRD-A04322457
ADRB2,154,BRD-A04322457
ADRB3,155,BRD-A04322457
CCR5,1234,BRD-A04352665
ADRB1,153,BRD-A04971881
ADRB2,154,BRD-A04971881
ADRB3,155,BRD-A04971881
ATP1A1,476,BRD-A05926236
HRH1,3269,BRD-A06352418
KCNH1,3756,BRD-A06352418
KCNH2,3757,BRD-A06352418
ADRB2,154,BRD-A07780951
MME,4311,BRD-A08187463
ESR1,2099,BRD-A08302182
PGR,5241,BRD-A08302182
CHRM1,1128,BRD-A09467419
KCNA5,3741,BRD-A09472452
KCNA7,3743,BRD-A09472452
SCN5A,6331,BRD-A09472452
CACNA1A,773,BRD-A09533288
CACNA1B,774,BRD-A09533288
CACNA1C,775,BRD-A09533288
CACNA1D,776,BRD-A09533288
CACNA1F,778,BRD-A09533288
CACNA1G,8913,BRD-A09533288
CACNA1I,8911,BRD-A09533288
CACNA1S,779,BRD-A09533288
CACNB1,782,BRD-A09533288
CACNB2,783,BRD-A09533288
CACNB3,784,BRD-A09533288
CACNB4,785,BRD-A09533288
CYP3A4,1576,BRD-A09533288
KCNA10,3744,BRD-A09533288
KCNA7,3743,BRD-A09533288
KCNH2,3757,BRD-A09533288
KCNJ11,3767,BRD-A09533288
NALCN,259232,BRD-A09533288
SCN5A,6331,BRD-A09533288
SLC29A4,222962,BRD-A09533288
SLC6A4,6532,BRD-A09533288
CYP2A6,1548,BRD-A09722536
CYP2B6,1555,BRD-A09722536
CYP2C18,1562,BRD-A09722536
CYP2C19,1557,BRD-A09722536
CYP2C8,1558,BRD-A09722536
CYP2C9,1559,BRD-A09722536
CYP2D6,1565,BRD-A09722536
CYP3A4,1576,BRD-A09722536
CYP3A5,1577,BRD-A09722536
CYP3A7,1551,BRD-A09722536
CMA1,1215,BRD-A09735281
CTSA,5476,BRD-A09735281
CTSF,8722,BRD-A09735281
CTSK,1513,BRD-A09735281
CTSL,1514,BRD-A09735281
CTSS,1520,BRD-A09735281
ADRA1A,148,BRD-A09925278
ADRB1,153,BRD-A09925278
ADRB1,153,BRD-A10070317
ADRB2,154,BRD-A10070317
ANXA1,301,BRD-A10188456
NOS2,4843,BRD-A10188456
NR0B1,190,BRD-A10188456
NR3C1,2908,BRD-A10188456
NR3C2,4306,BRD-A10188456
HTR3A,3359,BRD-A10967948
ADRB1,153,BRD-A10977446
ADRB2,154,BRD-A10977446
ADRB3,155,BRD-A10977446
A1BG,1,BRD-A12077521
ASS1,445,BRD-A12237696
DDAH1,23576,BRD-A12237696
DDAH2,23564,BRD-A12237696
GPRC6A,222545,BRD-A12237696
NOS1,4842,BRD-A12237696
NOS2,4843,BRD-A12237696
NOS3,4846,BRD-A12237696
OTC,5009,BRD-A12237696
PADI1,29943,BRD-A12237696
PADI2,11240,BRD-A12237696
PADI3,51702,BRD-A12237696
PADI4,23569,BRD-A12237696
PADI6,353238,BRD-A12237696
HTR2A,3356,BRD-A12896037
HTR3A,3359,BRD-A12896037
HTR4,3360,BRD-A12896037
KCNH2,3757,BRD-A12896037
CYP2C8,1558,BRD-A13084692
PPARG,5468,BRD-A13084692
TRPM3,80036,BRD-A13084692
ADRB2,154,BRD-A13116749
CACNA1C,775,BRD-A13175897
CHRM1,1128,BRD-A14208071
CHRM3,1131,BRD-A14208071
NR3C1,2908,BRD-A15297126
SERPINA6,866,BRD-A15297126
SMO,6608,BRD-A15297126
HRH1,3269,BRD-A15687940
SLC12A3,6559,BRD-A15739803
FPR1,2357,BRD-A15909516
PTGS1,5742,BRD-A16296925
PTGS2,5743,BRD-A16296925
CHRM1,1128,BRD-A16311756
ACHE,43,BRD-A16347691
PTGS2,5743,BRD-A16347691
ESR1,2099,BRD-A16439188
ESR2,2100,BRD-A16439188
TRHR,7201,BRD-A16997652
ADA,100,BRD-A17154931
CYP3A4,1576,BRD-A17407635
NR3C1,2908,BRD-A17407635
SERPINA6,866,BRD-A17407635
PTGS2,5743,BRD-A17411484
ADRB2,154,BRD-A17462676
BCHE,590,BRD-A17462676
TNF,7124,BRD-A17883755
CHRM2,1129,BRD-A18056626
CHRM4,1132,BRD-A18056626
PKD2L1,9033,BRD-A18396475
MUT,4594,BRD-A18627414
CACNA2D1,781,BRD-A18992208
ADRA1A,148,BRD-A19053834
ADRA1B,147,BRD-A19053834
ADRA1D,146,BRD-A19053834
DRD2,1813,BRD-A19053834
