gene_symbol,entrez_id,compound_id
HRH1,3269,BRD-A19053834
HTR2C,3358,BRD-A19053834
HTR6,3362,BRD-A19053834
PTGS1,5742,BRD-A19458515
PTGS2,5743,BRD-A19458515
ADRA1A,148,BRD-A19661776
ADRA1B,147,BRD-A19661776
ADRA1D,146,BRD-A19661776
HRH1,3269,BRD-A19661776
HRH2,3274,BRD-A19661776
HTR2A,3356,BRD-A19661776
HTR2B,3357,BRD-A19661776
HTR2C,3358,BRD-A19661776
HTR6,3362,BRD-A19661776
HTR7,3363,BRD-A19661776
ADRB1,153,BRD-A20239487
ADRB2,154,BRD-A20239487
LTF,4057,BRD-A20239487
PLA2G2E,30814,BRD-A20239487
GABRA1,2554,BRD-A20348246
GABRA1,2554,BRD-A20550616
GABRA2,2555,BRD-A20550616
GABRA3,2556,BRD-A20550616
GABRA4,2557,BRD-A20550616
GABRA5,2558,BRD-A20550616
GABRA6,2559,BRD-A20550616
GABRB1,2560,BRD-A20550616
GABRB2,2561,BRD-A20550616
GABRB3,2562,BRD-A20550616
GABRD,2563,BRD-A20550616
GABRE,2564,BRD-A20550616
GABRG1,2565,BRD-A20550616
GABRG2,2566,BRD-A20550616
GABRG3,2567,BRD-A20550616
GABRP,2568,BRD-A20550616
GABRQ,55879,BRD-A20550616
GLRA1,2741,BRD-A20550616
GLRB,2743,BRD-A20550616
KCNK10,54207,BRD-A20550616
KCNK12,56660,BRD-A20550616
KCNK13,56659,BRD-A20550616
KCNK15,60598,BRD-A20550616
KCNK18,338567,BRD-A20550616
KCNK2,3776,BRD-A20550616
KCNK3,3777,BRD-A20550616
KCNK9,51305,BRD-A20550616
NR3C2,4306,BRD-A20644369
FOXM1,2305,BRD-A20697603
ADRB1,153,BRD-A21280314
ADRB2,154,BRD-A21280314
CACNA1G,8913,BRD-A22128695
ESR1,2099,BRD-A22143024
ESR2,2100,BRD-A22143024
ATP4A,495,BRD-A22380646
30S-RIBOSOMAL SUBUNIT,,BRD-A22740840
PTGS1,5742,BRD-A22844106
PTGS2,5743,BRD-A22844106
HRH1,3269,BRD-A23072235
PTGS1,5742,BRD-A23418262
PTGS2,5743,BRD-A23418262
NR1I2,8856,BRD-A23603052
SLCO1A2,6579,BRD-A23603052
SLCO1B1,10599,BRD-A23603052
SLCO1B3,28234,BRD-A23603052
IDE,3416,BRD-A23712469
GABRA1,2554,BRD-A23970436
VKORC1,79001,BRD-A24514565
CYP11A1,1583,BRD-A25234499
CYP19A1,1588,BRD-A25234499
CYP11B1,1584,BRD-A25619068
CYP19A1,1588,BRD-A25619068
CA1,759,BRD-A26384407
CA12,771,BRD-A26384407
CA14,23632,BRD-A26384407
CA2,760,BRD-A26384407
CA4,762,BRD-A26384407
CA7,766,BRD-A26384407
SLC12A1,6557,BRD-A26384407
CYP19A1,1588,BRD-A26503646
ADORA3,140,BRD-A26711594
CYP2C19,1557,BRD-A27732521
CYP2D6,1565,BRD-A27732521
NR3C1,2908,BRD-A27887842
NR3C2,4306,BRD-A27887842
SERPINA6,866,BRD-A27887842
ADRB3,155,BRD-A28044053
PTGS1,5742,BRD-A28940325
PTGS2,5743,BRD-A28940325
SLC12A1,6557,BRD-A28940325
TYR,7299,BRD-A29111201
ADRB1,153,BRD-A29260609
AR,367,BRD-A29485665
DRD2,1813,BRD-A29644307
SLC6A2,6530,BRD-A29644307
SLC6A3,6531,BRD-A29644307
CHRM1,1128,BRD-A29734509
CHRM2,1129,BRD-A29734509
CHRM3,1131,BRD-A29734509
KCND2,3751,BRD-A29734509
KCND3,3752,BRD-A29734509
KCNH2,3757,BRD-A29734509
SCN5A,6331,BRD-A29734509
SCN5A,6331,BRD-A30205217
CYP51A1,1595,BRD-A30774155
CFTR,1080,BRD-A30815329
AVPR1A,552,BRD-A31095847
AVPR1B,553,BRD-A31095847
AVPR2,554,BRD-A31095847
ANO1,55107,BRD-A31159102
HTR2B,3357,BRD-A31159102
SLC6A4,6532,BRD-A31159102
CYP11A1,1583,BRD-A31204924
CYP11B1,1584,BRD-A31204924
ESR1,2099,BRD-A31204924
CA1,759,BRD-A31521121
GABRA1,2554,BRD-A31564021
GABRA2,2555,BRD-A31564021
GABRA3,2556,BRD-A31564021
GABRA4,2557,BRD-A31564021
GABRA5,2558,BRD-A31564021
GABRA6,2559,BRD-A31564021
GABRB1,2560,BRD-A31564021
GABRB2,2561,BRD-A31564021
GABRB3,2562,BRD-A31564021
GABRD,2563,BRD-A31564021
GABRE,2564,BRD-A31564021
GABRG1,2565,BRD-A31564021
GABRG2,2566,BRD-A31564021
GABRG3,2567,BRD-A31564021
GABRP,2568,BRD-A31564021
GABRQ,55879,BRD-A31564021
GLRA1,2741,BRD-A31564021
GLRB,2743,BRD-A31564021
KCNK10,54207,BRD-A31564021
KCNK18,338567,BRD-A31564021
KCNK2,3776,BRD-A31564021
KCNK3,3777,BRD-A31564021
KCNK9,51305,BRD-A31564021
CHRM1,1128,BRD-A31800922
ADRB1,153,BRD-A33168282
ADRB2,154,BRD-A33168282
ADRB3,155,BRD-A33168282
KCNH2,3757,BRD-A33168282
HRH1,3269,BRD-A33178345
ACE,1636,BRD-A33506612
ADRB2,154,BRD-A33894669
PTGS1,5742,BRD-A34006693
PTGS2,5743,BRD-A34006693
NR3C1,2908,BRD-A34299591
HTR2A,3356,BRD-A34358106
HTR2B,3357,BRD-A34358106
HTR2C,3358,BRD-A34358106
VDR,7421,BRD-A34455052
PTGS1,5742,BRD-A34603619
PTGS2,5743,BRD-A34603619
TOP2A,7153,BRD-A35588707
TOP2B,7155,BRD-A35588707
NR3C1,2908,BRD-A36010170
ABCC1,4363,BRD-A36217750
FPR1,2357,BRD-A36217750
SLC22A12,116085,BRD-A36217750
ADRB2,154,BRD-A36267905
FOLR2,2350,BRD-A36978621
CFTR,1080,BRD-A38076815
KCNA10,3744,BRD-A38350138
CA2,760,BRD-A38675539
GRIA1,2890,BRD-A38675539
GRIA2,2891,BRD-A38675539
GRIA3,2892,BRD-A38675539
GRIA4,2893,BRD-A38675539
SLC12A3,6559,BRD-A38675539
AR,367,BRD-A38706605
HTR4,3360,BRD-A39052811
PTGS1,5742,BRD-A39172021
PTGS2,5743,BRD-A39172021
ADRA1A,148,BRD-A39189014
ADRA1B,147,BRD-A39189014
ADRA1D,146,BRD-A39189014
METAP2,10988,BRD-A39515206
PGR,5241,BRD-A39791822
CYP51A1,1595,BRD-A40546373
ADRB1,153,BRD-A41304429
ANPEP,290,BRD-A41519720
NPC1L1,29881,BRD-A41519720
SOAT1,6646,BRD-A41519720
ADRB1,153,BRD-A42167015
ADRB2,154,BRD-A42167015
ADRB3,155,BRD-A42167015
DHODH,1723,BRD-A42699921
HTR1A,3350,BRD-A42881122
HTR2A,3356,BRD-A42881122
HTR2C,3358,BRD-A42881122
HTR7,3363,BRD-A42881122
ADRB1,153,BRD-A43671941
ABCC8,6833,BRD-A43882281
ABCC9,10060,BRD-A43882281
HRH1,3269,BRD-A44008656
CXCR1,3577,BRD-A44090213
CXCR2,3579,BRD-A44090213
PTGS1,5742,BRD-A44090213
PTGS2,5743,BRD-A44090213
KCNH2,3757,BRD-A44511856
CCKAR,886,BRD-A44863528
CCKBR,887,BRD-A44863528
AKR1C3,8644,BRD-A45153512
PTGER1,5731,BRD-A45153512
PTGER3,5733,BRD-A45153512
PTGFR,5737,BRD-A45153512
PTGDR,5729,BRD-A45664787
PTGER1,5731,BRD-A45664787
PTGER2,5732,BRD-A45664787
PTGER3,5733,BRD-A45664787
PTGER4,5734,BRD-A45664787
PTGFR,5737,BRD-A45664787
PTGIR,5739,BRD-A45664787
TBXA2R,6915,BRD-A45664787
PLA2G1B,5319,BRD-A45889380
HRH1,3269,BRD-A46335897
ALPPL2,251,BRD-A46393198
CHRNA3,1136,BRD-A46393198
ADRA1A,148,BRD-A47598013
CHRM1,1128,BRD-A47598013
HRH1,3269,BRD-A47598013
SLC6A2,6530,BRD-A47598013
SLC6A3,6531,BRD-A47598013
SLC6A4,6532,BRD-A47598013
F2,2147,BRD-A48261811
GLP1R,2740,BRD-A48274390
ADRB1,153,BRD-A48420483
ADRB2,154,BRD-A48420483
ADRB3,155,BRD-A48420483
CHRNA2,1135,BRD-A48465967
ACHE,43,BRD-A49160188
ATP4A,495,BRD-A49172652
ATP4B,496,BRD-A49172652
PPARA,5465,BRD-A49358627
IDE,3416,BRD-A49374018
NR3C1,2908,BRD-A49765801
VKORC1,79001,BRD-A49838158
ADRB2,154,BRD-A50157456
ADRB1,153,BRD-A50675490
ADRB2,154,BRD-A50675490
ADRB3,155,BRD-A50675490
ACE,1636,BRD-A51382177
ATP4A,495,BRD-A51497544
NPY1R,4886,BRD-A51820102
NPY2R,4887,BRD-A51820102
TRPM2,7226,BRD-A51820102
TRPV5,56302,BRD-A51820102
GABRA1,2554,BRD-A51831848
GABRA2,2555,BRD-A51831848
GABRA3,2556,BRD-A51831848
GABRA4,2557,BRD-A51831848
GABRA5,2558,BRD-A51831848
GABRA6,2559,BRD-A51831848
GABRB1,2560,BRD-A51831848
GABRB2,2561,BRD-A51831848
GABRB3,2562,BRD-A51831848
GABRD,2563,BRD-A51831848
GABRE,2564,BRD-A51831848
GABRG1,2565,BRD-A51831848
GABRG2,2566,BRD-A51831848
GABRG3,2567,BRD-A51831848
GABRP,2568,BRD-A51831848
GABRQ,55879,BRD-A51831848
GLRA1,2741,BRD-A51831848
GLRB,2743,BRD-A51831848
KCNK10,54207,BRD-A51831848
KCNK18,338567,BRD-A51831848
KCNK2,3776,BRD-A51831848
KCNK3,3777,BRD-A51831848
KCNK9,51305,BRD-A51831848
KCNN4,3783,BRD-A51964809
ATP2A2,488,BRD-A52922642
CHRM5,1133,BRD-A54234250
ADRA1A,148,BRD-A54236247
ADRA2A,150,BRD-A54236247
ADRB1,153,BRD-A54236247
ADRB2,154,BRD-A54236247
ATF1,466,BRD-A54236247
ATF2,1386,BRD-A54236247
ATF3,467,BRD-A54236247
ATF4,468,BRD-A54236247
ATF5,22809,BRD-A54236247
ATF6,22926,BRD-A54236247
ATF7,11016,BRD-A54236247
FOS,2353,BRD-A54236247
IL2,3558,BRD-A54236247
JDP2,122953,BRD-A54236247
JUN,3725,BRD-A54236247
NFATC1,4772,BRD-A54236247
SLC6A2,6530,BRD-A54236247
SLC6A3,6531,BRD-A54236247
SLC6A4,6532,BRD-A54236247
TNF,7124,BRD-A54236247
GUCY2C,2984,BRD-A55468767
PROC,5624,BRD-A55664972
ATP4A,495,BRD-A55962179
CLCN2,1181,BRD-A55962179
ADRB2,154,BRD-A56241705
ADRB3,155,BRD-A56241705
ALOX5,240,BRD-A56359832
CHRM1,1128,BRD-A56613951
CHRM4,1132,BRD-A56613951
CHRM5,1133,BRD-A56613951
SLC15A1,6564,BRD-A56858165
SLC15A2,6565,BRD-A56858165
SLC22A6,9356,BRD-A56858165
SLC22A8,9376,BRD-A56858165
ATP4A,495,BRD-A56892734
ATP4B,496,BRD-A56892734
PTGS1,5742,BRD-A57382968
PTGS2,5743,BRD-A57382968
CACNA1G,8913,BRD-A57592049
CACNA1H,8912,BRD-A57592049
CACNA1I,8911,BRD-A57592049
CFTR,1080,BRD-A58048407
NR3C2,4306,BRD-A58048407
NR3C1,2908,BRD-A59014912
SLC6A2,6530,BRD-A59198242
CYP7A1,1581,BRD-A59329714
KCNK2,3776,BRD-A59378440
DRD2,1813,BRD-A60197193
TBXA2R,6915,BRD-A60765580
DDC,1644,BRD-A61194565
SLC12A3,6559,BRD-A61793559
NR3C1,2908,BRD-A62731508
GAA,2548,BRD-A63310107
GANAB,23193,BRD-A63310107
GANC,2595,BRD-A63310107
MGAM,8972,BRD-A63310107
PLAU,5328,BRD-A64092382
SCN4A,6329,BRD-A64092382
SCN5A,6331,BRD-A64092382
SSTR2,6752,BRD-A64173453
SSTR3,6753,BRD-A64173453
SSTR5,6755,BRD-A64173453
CHRM1,1128,BRD-A64698388
ADRA2A,150,BRD-A64977602
ADRA2B,151,BRD-A64977602
ADRA2C,152,BRD-A64977602
HTR2A,3356,BRD-A64977602
HTR2C,3358,BRD-A64977602
VKORC1,79001,BRD-A65051990
DRD2,1813,BRD-A65280694
HRH1,3269,BRD-A65280694
HTR2A,3356,BRD-A65280694
NR3C1,2908,BRD-A65449987
ADRA1A,148,BRD-A66563878
ADRA1B,147,BRD-A66563878
ADRA1D,146,BRD-A66563878
ADRA2A,150,BRD-A66563878
ADRA2B,151,BRD-A66563878
ADRA2C,152,BRD-A66563878
GABBR1,2550,BRD-A66920069
GABBR2,9568,BRD-A66920069
CYP2A6,1548,BRD-A67097164
CYP2B6,1555,BRD-A67097164
CYP2C18,1562,BRD-A67097164
CYP2C19,1557,BRD-A67097164
CYP2C8,1558,BRD-A67097164
CYP2C9,1559,BRD-A67097164
CYP3A4,1576,BRD-A67097164
CYP3A5,1577,BRD-A67097164
CYP3A7,1551,BRD-A67097164
PTGS1,5742,BRD-A67097164
MAOA,4128,BRD-A67182178
MAOB,4129,BRD-A67182178
HRH2,3274,BRD-A67516570
ADRA1A,148,BRD-A67799922
ADRA1B,147,BRD-A67799922
ADRA1D,146,BRD-A67799922
ADRA2A,150,BRD-A67799922
ADRA2B,151,BRD-A67799922
ADRA2C,152,BRD-A67799922
ACAT2,39,BRD-A67956599
CRAT,1384,BRD-A67956599
CS,1431,BRD-A67956599
DBI,1622,BRD-A67956599
HMGCR,3156,BRD-A67956599
KAT2A,2648,BRD-A67956599
KAT2B,8850,BRD-A67956599
KAT5,10524,BRD-A67956599
SLC6A2,6530,BRD-A68304895
SLC6A3,6531,BRD-A68304895
SLC6A4,6532,BRD-A68304895
CYP1A2,1544,BRD-A68493689
CYP3A4,1576,BRD-A68493689
HRH1,3269,BRD-A68888262
DDC,1644,BRD-A69512159
CHRM1,1128,BRD-A69917777
PTGS2,5743,BRD-A70182876
PTGS1,5742,BRD-A71725768
PTGS2,5743,BRD-A71725768
HTR1A,3350,BRD-A72309220
HTR1B,3351,BRD-A72309220
HTR1D,3352,BRD-A72309220
HTR1E,3354,BRD-A72309220
HTR1F,3355,BRD-A72309220
HTR2A,3356,BRD-A72309220
HTR2B,3357,BRD-A72309220
HTR2C,3358,BRD-A72309220
HTR5A,3361,BRD-A72309220
HTR6,3362,BRD-A72309220
HTR7,3363,BRD-A72309220
PTGER2,5732,BRD-A72351335
PTGER3,5733,BRD-A72351335
PTGER4,5734,BRD-A72351335
PTGIR,5739,BRD-A72351335
GABRA3,2556,BRD-A72441487
FAAH,2166,BRD-A72603112
PTGS2,5743,BRD-A72988804
HRH1,3269,BRD-A73368467
NR3C1,2908,BRD-A73385064
SERPINA6,866,BRD-A73385064
SLC36A1,206358,BRD-A73930134
SLC36A2,153201,BRD-A73930134
CACNA1C,775,BRD-A74391928
KCNH2,3757,BRD-A74391928
PTGS2,5743,BRD-A74667430
DHFR,1719,BRD-A74914197
PTGS1,5742,BRD-A75224450
PTGS2,5743,BRD-A75224450
PTGS1,5742,BRD-A75552914
PTGS2,5743,BRD-A75552914
ADRB1,153,BRD-A78322124
ADRB2,154,BRD-A78322124
ADORA1,134,BRD-A78341343
ADORA2A,135,BRD-A78341343
ADORA2B,136,BRD-A78341343
ADORA3,140,BRD-A78341343
PBP,,BRD-A78723049
CHRM3,1131,BRD-A79672927
CHRM4,1132,BRD-A79672927
FKBP1A,2280,BRD-A79768653
MTOR,2475,BRD-A79768653
SLC12A1,6557,BRD-A80017228
SLC12A3,6559,BRD-A80017228
TOP1,7150,BRD-A80805100
TOP2A,7153,BRD-A80805100
TAAR1,134864,BRD-A80871782
PTGS1,5742,BRD-A81129465
SLC5A8,160728,BRD-A81129465
CHRM1,1128,BRD-A81233518
CHRM2,1129,BRD-A81233518
CHRM3,1131,BRD-A81233518
CHRM4,1132,BRD-A81233518
CHRM5,1133,BRD-A81233518
AVPR1A,552,BRD-A82035391
AVPR2,554,BRD-A82035391
P2RY12,64805,BRD-A83029242
SCN5A,6331,BRD-A83937277
PTGS1,5742,BRD-A84174393
PTGS2,5743,BRD-A84174393
A1BG,1,BRD-A84465106
CACNA1C,775,BRD-A84465106
CACNA1D,776,BRD-A84465106
CACNA1F,778,BRD-A84465106
CACNA1S,779,BRD-A84465106
CHRNA7,1139,BRD-A84481105
DRD1,1812,BRD-A84481105
DRD2,1813,BRD-A84481105
DRD3,1814,BRD-A84481105
DRD4,1815,BRD-A84481105
DRD5,1816,BRD-A84481105
HRH1,3269,BRD-A84481105
HTR1A,3350,BRD-A84481105
HTR2A,3356,BRD-A84481105
HTR2C,3358,BRD-A84481105
HTR6,3362,BRD-A84481105
HTR7,3363,BRD-A84481105
MALT1,10892,BRD-A84481105
PDE3A,5139,BRD-A84575140
CACNA1C,775,BRD-A84687895
CACNA1D,776,BRD-A84687895
CHRM1,1128,BRD-A84907376
CHRM2,1129,BRD-A84907376
CHRM3,1131,BRD-A84907376
CHRM4,1132,BRD-A84907376
CHRNA7,1139,BRD-A84907376
SLC23A1,9963,BRD-A85242401
SLC23A2,9962,BRD-A85242401
AVPR1A,552,BRD-A85261566
AVPR1B,553,BRD-A85261566
AVPR2,554,BRD-A85261566
OXT,5020,BRD-A85261566
OXTR,5021,BRD-A85261566
ESR1,2099,BRD-A85667082
ESR2,2100,BRD-A85667082
GPER1,2852,BRD-A85667082
CACNA1G,8913,BRD-A86665761
ALOX5,240,BRD-A87130939
ADRB1,153,BRD-A87606379
ADRB2,154,BRD-A87606379
ADRB3,155,BRD-A87606379
NR3C1,2908,BRD-A88138582
ADRB2,154,BRD-A88254928
DPP4,1803,BRD-A88369366
GNRHR,2798,BRD-A88562598
ADRB1,153,BRD-A89175223
ADRA1A,148,BRD-A89207210
ADRA2A,150,BRD-A89207210
ADRA2B,151,BRD-A89207210
ADRA2C,152,BRD-A89207210
DRD2,1813,BRD-A89207210
DRD3,1814,BRD-A89207210
DRD4,1815,BRD-A89207210
HTR1A,3350,BRD-A89207210
HTR1B,3351,BRD-A89207210
HTR1D,3352,BRD-A89207210
HTR2A,3356,BRD-A89207210
HTR2B,3357,BRD-A89207210
HTR2C,3358,BRD-A89207210
PRKCI,5584,BRD-A89825407
ITGA2B,3674,BRD-A90547603
ITGB3,3690,BRD-A90547603
PTGS1,5742,BRD-A90551241
PTGS2,5743,BRD-A90551241
LPL,4023,BRD-A90625545
CACNA1D,776,BRD-A90799790
CACNA1F,778,BRD-A90799790
CACNA2D1,781,BRD-A90799790
KCNQ4,9132,BRD-A91008255
HRH1,3269,BRD-A91444184
MRGPRX1,259249,BRD-A91699651
TNF,7124,BRD-A93255169
NR3C1,2908,BRD-A93963402
PLA2G1B,5319,BRD-A93963402
CYP1A2,1544,BRD-A94008949
CYP2D6,1565,BRD-A94008949
CYP3A4,1576,BRD-A94008949
CYP3A5,1577,BRD-A94008949
CYP3A7,1551,BRD-A94008949
ADRB1,153,BRD-A94276798
PRKACA,5566,BRD-A94624445
SLC12A1,6557,BRD-A95340155
SLC12A3,6559,BRD-A95340155
ADRA2A,150,BRD-A95602221
ADRB1,153,BRD-A95602221
ADRB2,154,BRD-A95602221
CA2,760,BRD-A95869247
HTR3A,3359,BRD-A95869247
KCNQ1,3784,BRD-A95869247
ARG2,384,BRD-A96292436
ODC1,4953,BRD-A96292436
FFAR1,2864,BRD-A97437073
PPARG,5468,BRD-A97437073
TRPC5,7224,BRD-A97437073
TRPM3,80036,BRD-A97437073
CHRM1,1128,BRD-A97479839
SCN10A,6336,BRD-A97674275
SCN9A,6335,BRD-A97674275
ADRB1,153,BRD-A97701745
ADRB2,154,BRD-A97701745
HTR1A,3350,BRD-A97701745
HTR2A,3356,BRD-A97701745
HTR2B,3357,BRD-A97701745
SCN5A,6331,BRD-A97730597
PTGS1,5742,BRD-A97739905
PTGS2,5743,BRD-A97739905
SLC5A8,160728,BRD-A97739905
CLCA1,1179,BRD-A98378129
HRH1,3269,BRD-A98990573
TLR7,51284,BRD-A99117172
TLR9,54106,BRD-A99117172
METAP2,10988,BRD-A99367815
CACNA1G,8913,BRD-A99633051
CACNA1H,8912,BRD-A99633051
CACNA1I,8911,BRD-A99633051
DRD2,1813,BRD-A99888680
HTR2A,3356,BRD-A99888680
CHRM1,1128,BRD-A99899486
CA1,759,BRD-K00002562
CA12,771,BRD-K00002562
CA14,23632,BRD-K00002562
CA2,760,BRD-K00002562
CA4,762,BRD-K00002562
CA7,766,BRD-K00002562
PGR,5241,BRD-K00003150
ATP4A,495,BRD-K00003243
PRKCD,5580,BRD-K00003329
PRKCE,5581,BRD-K00003329
F10,2159,BRD-K00003513
SERPINC1,462,BRD-K00003513
PTPN6,5777,BRD-K00003543
CYP1A2,1544,BRD-K00003545
CYP3A4,1576,BRD-K00003545
DPP4,1803,BRD-K00003546
DRD2,1813,BRD-K00003551
HRH1,3269,BRD-K00003551
HTR1A,3350,BRD-K00003551
HTR1B,3351,BRD-K00003551
HTR1D,3352,BRD-K00003551
HTR1E,3354,BRD-K00003551
HTR2A,3356,BRD-K00003551
GLP1R,2740,BRD-K00003559
DPP4,1803,BRD-K00003565
MPL,4352,BRD-K00003572
BRAF,673,BRD-K00003576
CCND1,595,BRD-K00003576
GNRHR,2798,BRD-K00003578
AVPR1A,552,BRD-K00003582
AVPR1B,553,BRD-K00003582
AVPR2,554,BRD-K00003582
OXTR,5021,BRD-K00003582
SERPIND1,3053,BRD-K00003590
GUCY2C,2984,BRD-K00003592
OPRD1,4985,BRD-K00003599
OPRK1,4986,BRD-K00003599
OPRM1,4988,BRD-K00003599
CHRM1,1128,BRD-K00003600
CHRM2,1129,BRD-K00003600
CHRM3,1131,BRD-K00003600
CHRM4,1132,BRD-K00003600
CHRM5,1133,BRD-K00003600
PRKCI,5584,BRD-K00003601
ADORA1,134,BRD-K00003609
ADORA2A,135,BRD-K00003609
ADORA2B,136,BRD-K00003609
ADORA3,140,BRD-K00003609
HRH2,3274,BRD-K00003615
AKR1C3,8644,BRD-K00003616
PTGER1,5731,BRD-K00003616
PTGER3,5733,BRD-K00003616
PTGFR,5737,BRD-K00003616
ADRB1,153,BRD-K00003617
OPRD1,4985,BRD-K00003635
OPRK1,4986,BRD-K00003635
OPRM1,4988,BRD-K00003635
KCNA5,3741,BRD-K00003636
SCN10A,6336,BRD-K00003636
CHRM1,1128,BRD-K00003637
CHRM2,1129,BRD-K00003637
CHRM3,1131,BRD-K00003637
CHRM4,1132,BRD-K00003637
CHRM1,1128,BRD-K00003641
NR3C1,2908,BRD-K00003654
ESR1,2099,BRD-K00003655
PGR,5241,BRD-K00003655
ALOX5,240,BRD-K00003656
PPARG,5468,BRD-K00003656
PTGS1,5742,BRD-K00003656
PTGS2,5743,BRD-K00003656
