moa,compound_id
adenosine receptor agonist,BRD-A10111329
glucocorticoid receptor agonist,BRD-A10188456
bacterial cell wall synthesis inhibitor,BRD-A10652366
calcium channel blocker,BRD-A10662413
beta lactamase inhibitor,BRD-A10773072
serotonin receptor antagonist,BRD-A10967948
adrenergic receptor antagonist,BRD-A10977446
3-beta-D-glucan synthase inhibitor,BRD-A11207520
fungal 1,BRD-A11207520
bacterial cell wall synthesis inhibitor,BRD-A12077521
penicillin binding protein inhibitor,BRD-A12077521
nitric oxide stimulant,BRD-A12237696
beta lactamase inhibitor,BRD-A12490291
serotonin receptor agonist,BRD-A12896037
angiogenesis inhibitor,BRD-A12994259
tumor necrosis factor production inhibitor,BRD-A12994259
bacterial cell wall synthesis inhibitor,BRD-A13078313
PPAR receptor agonist,BRD-A13084692
insulin sensitizer,BRD-A13084692
adrenergic receptor agonist,BRD-A13116749
T-type calcium channel blocker,BRD-A13175897
adrenergic receptor antagonist,BRD-A13188892
bacterial permeability inducer,BRD-A13668387
cholinergic receptor antagonist,BRD-A14208071
adrenergic inhibitor,BRD-A14262390
serotonin–norepinephrine reuptake inhibitor (SNRI),BRD-A15202882
glucocorticoid receptor agonist,BRD-A15297126
histamine receptor antagonist,BRD-A15687940
sodium/chloride cotransporter inhibitor,BRD-A15739803
bacterial 50S ribosomal subunit inhibitor,BRD-A15750551
free radical scavenger,BRD-A15909516
cyclooxygenase inhibitor,BRD-A16296925
platelet aggregation inhibitor,BRD-A16296925
butyrylcholinesterase inhibitor,BRD-A16311756
cholinergic receptor antagonist,BRD-A16311756
reducing agent,BRD-A16347691
estrogen receptor agonist,BRD-A16439188
bacterial cell wall synthesis inhibitor,BRD-A16665823
adrenergic receptor agonist,BRD-A16700644
thyrotropin releasing hormone receptor agonist,BRD-A16997652
adenosine deaminase inhibitor,BRD-A17154931
ribonucleotide reductase inhibitor,BRD-A17154931
glucocorticoid receptor agonist,BRD-A17407635
cyclooxygenase inhibitor,BRD-A17411484
adrenergic receptor agonist,BRD-A17462676
cyclooxygenase inhibitor,BRD-A17655518
antioxidant,BRD-A17846016
anticancer agent,BRD-A17883755
succinimide antiepileptic,BRD-A18043272
acetylcholine receptor agonist,BRD-A18056626
local anesthetic,BRD-A18605525
beta lactamase inhibitor,BRD-A18611368
methylmalonyl CoA mutase stimulant,BRD-A18627414
vitamin B,BRD-A18627414
calcium channel blocker,BRD-A18992208
adrenergic receptor antagonist,BRD-A19053834
dopamine receptor antagonist,BRD-A19053834
norepinephrine reputake inhibitor,BRD-A19195498
tricyclic antidepressant,BRD-A19195498
cyclooxygenase inhibitor,BRD-A19458515
serotonin receptor antagonist,BRD-A19661776
mitochondrial electron transport inhibitor,BRD-A19795905
NFkB pathway inhibitor,BRD-A19952358
chitinase inhibitor,BRD-A19952358
adrenergic receptor antagonist,BRD-A20239487
GABA receptor modulator,BRD-A20348246
glutamate receptor antagonist,BRD-A20550616
mineralocorticoid receptor antagonist,BRD-A20644369
foxm1 inhibitor,BRD-A20697603
protein synthesis inhibitor,BRD-A20697603
sodium channel blocker,BRD-A20742938
bacterial cell wall synthesis inhibitor,BRD-A20839672
adrenergic receptor antagonist,BRD-A21280314
adrenergic receptor agonist,BRD-A21474126
anthelmintic agent,BRD-A21858158
calcium channel blocker,BRD-A22032524
anticonvulsant,BRD-A22128695
estrogen receptor agonist,BRD-A22143024
acetylcholine receptor antagonist,BRD-A22152765
adrenergic receptor antagonist,BRD-A22256192
bacterial cell wall synthesis inhibitor,BRD-A22303829
gluconeogenesis inhibitor,BRD-A22305049
ATPase inhibitor,BRD-A22380646
bacterial 30S ribosomal subunit inhibitor,BRD-A22740840
