moa,compound_id
KIT inhibitor,BRD-K00003419
proton pump inhibitor,BRD-K00003427
receptor tyrosine protein kinase inhibitor,BRD-K00003447
GABA receptor agonist,BRD-K00003448
endonuclease inhibitor,BRD-K00003495
tyrosine kinase inhibitor,BRD-K00003501
coagulation factor inhibitor,BRD-K00003513
vitamin B,BRD-K00003525
bacterial 50S ribosomal subunit inhibitor,BRD-K00003542
tyrosine phosphatase inhibitor,BRD-K00003543
HCV inhibitor,BRD-K00003545
dipeptidyl peptidase inhibitor,BRD-K00003546
nematocide,BRD-K00003549
dopamine receptor antagonist,BRD-K00003551
serotonin receptor antagonist,BRD-K00003551
benzodiazepine receptor agonist,BRD-K00003555
DNA inhibitor,BRD-K00003556
antimalarial agent,BRD-K00003556
GLP receptor agonist,BRD-K00003559
3-beta-D-glucan synthase inhibitor,BRD-K00003560
fungal 1,BRD-K00003560
DNA polymerase inhibitor,BRD-K00003562
dipeptidyl peptidase inhibitor,BRD-K00003565
thrombopoietin receptor agonist,BRD-K00003572
RAF inhibitor,BRD-K00003576
serine/threonine kinase inhibitor,BRD-K00003576
gonadotropin releasing factor hormone receptor antagonist,BRD-K00003578
radiopaque medium,BRD-K00003579
vasopressin receptor agonist,BRD-K00003582
acetylcholine precursor,BRD-K00003587
DNA synthesis inhibitor,BRD-K00003588
dna damage inducer,BRD-K00003588
thrombin inhibitor,BRD-K00003590
RNA polymerase inhibitor,BRD-K00003591
guanylate cyclase activator,BRD-K00003592
opioid receptor antagonist,BRD-K00003599
acetylcholine receptor antagonist,BRD-K00003600
PKC inhibitor,BRD-K00003601
protein synthesis inhibitor,BRD-K00003604
nitric oxide donor,BRD-K00003606
dopamine receptor antagonist,BRD-K00003607
adenosine receptor agonist,BRD-K00003609
bacterial cell wall synthesis inhibitor,BRD-K00003611
histamine receptor antagonist,BRD-K00003615
prostanoid receptor agonist,BRD-K00003616
adrenergic receptor antagonist,BRD-K00003617
bacterial cell wall synthesis inhibitor,BRD-K00003625
sterol demethylase inhibitor,BRD-K00003630
opioid receptor agonist,BRD-K00003635
sodium channel blocker,BRD-K00003636
acetylcholine receptor agonist,BRD-K00003637
acetylcholine receptor antagonist,BRD-K00003641
glucocorticoid receptor agonist,BRD-K00003654
progesterone receptor agonist,BRD-K00003655
cyclooxygenase inhibitor,BRD-K00003656
chloride channel antagonist,BRD-K00003660
bacterial cell wall synthesis inhibitor,BRD-K00003661
adrenergic receptor agonist,BRD-K00003668
gluconeogenesis inhibitor,BRD-K00003672
glucocorticoid receptor agonist,BRD-K00003673
antioxidant,BRD-K00003683
adrenergic receptor agonist,BRD-K00003690
acetylcholine receptor antagonist,BRD-K00003691
monoamine oxidase inhibitor,BRD-K00003699
adrenergic receptor agonist,BRD-K00003701
bacterial cell wall synthesis inhibitor,BRD-K00003704
bacterial 50S ribosomal subunit inhibitor,BRD-K00003705
thyrotropin releasing hormone receptor agonist,BRD-K00003716
GLP receptor agonist,BRD-K00003717
adrenergic receptor agonist,BRD-K00003719
adrenergic receptor antagonist,BRD-K00004210
glutamate receptor antagonist,BRD-K00004210
FXR antagonist,BRD-K00004242
estrogen receptor agonist,BRD-K00004242
progesterone receptor agonist,BRD-K00004242
ATPase inhibitor,BRD-K00004280
calcium channel blocker,BRD-K00004281
serotonin–norepinephrine reuptake inhibitor (SNRI),BRD-K00004287
acetylcholine receptor agonist,BRD-K00004291
calcium channel blocker,BRD-K00004292
CC chemokine receptor antagonist,BRD-K00004293
ATPase inhibitor,BRD-K00004302
cytochrome P450 inhibitor,BRD-K00004318
uricosuric blocker,BRD-K00004525
bacterial 50S ribosomal subunit inhibitor,BRD-K00004536
dopamine receptor antagonist,BRD-K00004560
choleretic agent,BRD-K00004566
serotonin receptor agonist,BRD-K00004574
immune response modulator,BRD-K00004602
growth hormone releasing peptide ligand agonist,BRD-K00004629
selective estrogen receptor modulator (SERM),BRD-K00004639
adrenergic receptor agonist,BRD-K00004656
adrenergic receptor agonist,BRD-K00004663
purinergic receptor antagonist,BRD-K00004669
progesterone receptor agonist,BRD-K00004691
antibacterial,BRD-K00004694
dopamine reuptake inhibitor,BRD-K00004707
anti-inflammatory agent,BRD-K00004714
analgesic agent,BRD-K00004724
benzodiazepine receptor agonist,BRD-K00004970
protein synthesis inhibitor,BRD-K00005140
calcium channel blocker,BRD-K00005329
calcitonin agonist,BRD-K00005332
angiogenesis inhibitor,BRD-K00005346
sodium channel blocker,BRD-K00005347
bacterial cell wall synthesis inhibitor,BRD-K00005353
penicillin binding protein inhibitor,BRD-K00005353
nitric oxide synthase stimulant,BRD-K00010936
glucocorticoid receptor agonist,BRD-K00025439
glucocorticoid receptor agonist,BRD-K00025572
glucocorticoid receptor agonist,BRD-K00025599
HCV inhibitor,BRD-K00026984
glucocorticoid receptor agonist,BRD-K00029602
DNA alkylating agent,BRD-K00029603
DNA synthesis inhibitor,BRD-K00077635
microtubule inhibitor,BRD-K00077635
DNA polymerase inhibitor,BRD-K00094013
topoisomerase inhibitor,BRD-K00094013
microtubule inhibitor,BRD-K00259736
bacterial DNA gyrase inhibitor,BRD-K00494077
HMGCR inhibitor,BRD-K00495673
neuraminidase inhibitor,BRD-K00519864
vasodilator,BRD-K00531707
angiotensin converting enzyme inhibitor,BRD-K00573984
purinergic receptor antagonist,BRD-K00603606
phosphodiesterase inhibitor,BRD-K00633793
histamine receptor antagonist,BRD-K00673382
immunosuppressant,BRD-K00739965
glucocorticoid receptor agonist,BRD-K00824317
dopamine receptor partial agonist,BRD-K00911143
bacterial antifolate,BRD-K00938507
mucus protecting agent,BRD-K01039503
5 alpha reductase inhibitor,BRD-K01095011
hydroxyphenylpyruvate dioxygenase inhibitor,BRD-K01109406
bacterial cell wall synthesis inhibitor,BRD-K01244426
oxidizing agent,BRD-K01292611
dopamine receptor antagonist,BRD-K01292756
RNA polymerase inhibitor,BRD-K01507359
adenosine receptor agonist,BRD-K01577834
PARG inhibitor,BRD-K01584643
bacterial cell wall synthesis inhibitor,BRD-K01612348
matrix metalloprotease inhibitor,BRD-K01624185
adrenergic receptor agonist,BRD-K01638814
imidazoline receptor agonist,BRD-K01638814
acetylcholine receptor agonist,BRD-K01663662
glutamate receptor agonist,BRD-K01666412
bacterial permeability inducer,BRD-K01666924
bacterial permeability inducer,BRD-K01666935
histamine receptor agonist,BRD-K01674964
antiviral,BRD-K01773083
progesterone receptor agonist,BRD-K01824969
free radical scavenger,BRD-K01824972
bacterial cell wall synthesis inhibitor,BRD-K01824973
penicillin binding protein inhibitor,BRD-K01824973
bacterial DNA inhibitor,BRD-K01824979
acetylcholine receptor antagonist,BRD-K01824983
sodium channel blocker,BRD-K01824987
membrane integrity inhibitor,BRD-K01824991
bacterial cell wall synthesis inhibitor,BRD-K01824994
acetylcholine receptor agonist,BRD-K01825000
angiotensin converting enzyme inhibitor,BRD-K01825005
purinergic receptor activator,BRD-K01825013
adrenergic receptor antagonist,BRD-K01825098
sodium channel blocker,BRD-K01825102
pulmonary surfactant,BRD-K01825113
calcium channel blocker,BRD-K01825117
adrenergic receptor agonist,BRD-K01825118
adrenergic receptor antagonist,BRD-K01825125
adrenergic receptor agonist,BRD-K01825126
NFkB pathway modulator,BRD-K01825132
bacterial 30S ribosomal subunit inhibitor,BRD-K01825150
bacterial DNA inhibitor,BRD-K01825150
bacterial DNA gyrase inhibitor,BRD-K01825158
histamine receptor antagonist,BRD-K01825159
norepinephrine reputake inhibitor,BRD-K01825162
tricyclic antidepressant,BRD-K01825162
adrenergic receptor agonist,BRD-K01825579
acetylcholine receptor antagonist,BRD-K01825580
folate receptor ligand,BRD-K01825581
adrenergic receptor agonist,BRD-K01825585
RNA synthesis inhibitor,BRD-K01825586
antiviral,BRD-K01825586
calcium channel blocker,BRD-K01825587
fungal lanosterol demethylase inhibitor,BRD-K01825590
adrenergic receptor antagonist,BRD-K01825592
potassium channel blocker,BRD-K01825594
local anesthetic,BRD-K01825595
selective serotonin reuptake inhibitor (SSRI),BRD-K01825597
serotonin–norepinephrine reuptake inhibitor (SNRI),BRD-K01825598
serotonin–norepinephrine reuptake inhibitor (SNRI),BRD-K01825599
adrenergic receptor antagonist,BRD-K01825622
sterol demethylase inhibitor,BRD-K01825659
nicotinic receptor agonist,BRD-K01825660
glutamate receptor antagonist,BRD-K01825662
DNA synthesis inhibitor,BRD-K01825663
acetylcholine receptor antagonist,BRD-K01825666
bacterial 30S ribosomal subunit inhibitor,BRD-K01825679
metalloproteinase inhibitor,BRD-K01825679
NFkB pathway inhibitor,BRD-K01825680
chitinase inhibitor,BRD-K01825680
adrenergic receptor antagonist,BRD-K01825685
sterol demethylase inhibitor,BRD-K01825690
cyclooxygenase inhibitor,BRD-K01825691
prostanoid receptor antagonist,BRD-K01825691
bacterial DNA gyrase inhibitor,BRD-K01825698
GABA aminotransferase inhibitor,BRD-K01825700
bacterial DNA gyrase inhibitor,BRD-K01825701
acetylcholine receptor antagonist,BRD-K01825702
bacterial 30S ribosomal subunit inhibitor,BRD-K01825703
acetylcholine receptor antagonist,BRD-K01825729
cyclooxygenase inhibitor,BRD-K01825750
adrenergic receptor antagonist,BRD-K01825804
adrenergic receptor antagonist,BRD-K01825817
adrenergic receptor agonist,BRD-K01825837
cholinergic receptor antagonist,BRD-K01825841
adrenergic receptor antagonist,BRD-K01825842
adrenergic receptor agonist,BRD-K01825844
antitussive,BRD-K01826024
cholinergic receptor antagonist,BRD-K01826026
histamine receptor antagonist,BRD-K01826026
calcium sensitizer,BRD-K01826269
phosphodiesterase inhibitor,BRD-K01826269
selective serotonin reuptake enhancer (SSRE),BRD-K01826304
bacterial 30S ribosomal subunit inhibitor,BRD-K01826328
GABA receptor modulator,BRD-K01826330
bacterial 30S ribosomal subunit inhibitor,BRD-K01826474
dopamine precursor,BRD-K01826478
dopamine receptor agonist,BRD-K01826478
bacterial DNA gyrase inhibitor,BRD-K01826479
5-ht3 receptor antagonist,BRD-K01826507
serotonin receptor antagonist,BRD-K01826507
antihistamine,BRD-K01826510
bacterial cell wall synthesis inhibitor,BRD-K01826511
cyclooxygenase inhibitor,BRD-K01826512
DeltaF508-CFTR Correctors,BRD-K01826515
cystic fibrosis transmembrane conductance regulator inhibitor,BRD-K01826515
adrenergic receptor antagonist,BRD-K01826519
histamine receptor antagonist,BRD-K01826520
acetylcholine receptor antagonist,BRD-K01826529
acetylcholine receptor antagonist,BRD-K01826531
adrenergic receptor antagonist,BRD-K01826535
bacterial 30S ribosomal subunit inhibitor,BRD-K01826536
antiarrhythmic,BRD-K01826541
5-ht3 receptor antagonist,BRD-K01826546
serotonin receptor antagonist,BRD-K01826546
adrenergic inhibitor,BRD-K01826548
norepinephrine reuptake inhibitor,BRD-K01826548
serotonin–norepinephrine reuptake inhibitor (SNRI),BRD-K01826548
CCK receptor antagonist,BRD-K01826553
bacterial 30S ribosomal subunit inhibitor,BRD-K01826559
constitutive androstane receptor (CAR) agonist,BRD-K01826560
adrenergic receptor antagonist,BRD-K01826561
antihistamine,BRD-K01826562
histamine receptor antagonist,BRD-K01826567
adrenergic receptor antagonist,BRD-K01826568
adrenergic receptor antagonist,BRD-K01826569
monoamine oxidase inhibitor,BRD-K01826702
benzodiazepine receptor agonist,BRD-K01826724
dopamine reuptake inhibitor,BRD-K01826729
adrenergic receptor agonist,BRD-K01826731
PPAR receptor agonist,BRD-K01826734
insulin sensitizer,BRD-K01826734
cyclooxygenase inhibitor,BRD-K01826742
histamine receptor antagonist,BRD-K01826745
cyclooxygenase inhibitor,BRD-K01826746
acetylcholine receptor antagonist,BRD-K01826750
antispasmodic,BRD-K01826750
serotonin receptor antagonist,BRD-K01826751
adrenergic receptor agonist,BRD-K01826763
ATPase inhibitor,BRD-K01826765
gastrin inhibitor,BRD-K01826765
sodium channel blocker,BRD-K01826767
acetylcholine receptor antagonist,BRD-K01826774
acetylcholine receptor antagonist,BRD-K01826778
dopamine receptor agonist,BRD-K01826790
dopamine receptor agonist,BRD-K01826798
PPAR receptor agonist,BRD-K01826904
insulin sensitizer,BRD-K01826904
acetylcholine precursor,BRD-K01827239
acetylcholine receptor antagonist,BRD-K01827265
glutathione transferase stimulant,BRD-K01827268
membrane permeability enhancer,BRD-K01827268
adrenergic receptor antagonist,BRD-K01827270
cyclooxygenase inhibitor,BRD-K01827279
histamine receptor agonist,BRD-K01827280
histamine receptor antagonist,BRD-K01827280
prostaglandin inhibitor,BRD-K01827286
adrenergic receptor antagonist,BRD-K01827287
glutamate receptor antagonist,BRD-K01827287
dopamine receptor antagonist,BRD-K01827307
PARP inhibitor,BRD-K02113016
HDAC inhibitor,BRD-K02130563
elastase inhibitor,BRD-K02152879
norepinephrine reputake inhibitor,BRD-K02265150
bacterial cell wall synthesis inhibitor,BRD-K02275692
bacterial cell wall synthesis inhibitor,BRD-K02292852
androgen receptor agonist,BRD-K02314383
adenosine receptor antagonist,BRD-K02404261
phosphodiesterase inhibitor,BRD-K02404261
antiprotozoal agent,BRD-K02475039
carbonic anhydrase inhibitor,BRD-K02594908
cyclooxygenase inhibitor,BRD-K02637541
bacterial cell wall synthesis inhibitor,BRD-K02733959
serotonin reuptake inhibitor,BRD-K02867583
protein synthesis inhibitor,BRD-K02900412
HCV inhibitor,BRD-K02943813
vitamin D receptor agonist,BRD-K02965577
vasodilator,BRD-K02976377
nucleoside reverse transcriptase inhibitor,BRD-K02992638
dopamine receptor agonist,BRD-K02995728
calcium sensitizer,BRD-K03095347
PPAR receptor agonist,BRD-K03165895
phosphodiesterase inhibitor,BRD-K03194791
DNA directed DNA polymerase inhibitor,BRD-K03243820
thymidylate synthase inhibitor,BRD-K03243820
norepinephrine reputake inhibitor,BRD-K03319035
tricyclic antidepressant,BRD-K03319035
gastrin inhibitor,BRD-K03353589
urease inhibitor,BRD-K03353589
MEK inhibitor,BRD-K03390685
DNA methyltransferase inhibitor,BRD-K03406345
microtubule stabilizing agent,BRD-K03601870
bacterial cell wall synthesis inhibitor,BRD-K03907181
progestogen hormone,BRD-K03981224
dopamine receptor antagonist,BRD-K04111260
cyclooxygenase inhibitor,BRD-K04112579
dopamine receptor antagonist,BRD-K04175245
local anesthetic,BRD-K04185004
sodium channel blocker,BRD-K04196797
tubulin polymerization inhibitor,BRD-K04269837
bacterial cell wall synthesis inhibitor,BRD-K04301924
mineralocorticoid receptor antagonist,BRD-K04394237
topoisomerase inhibitor,BRD-K04548931
membrane integrity inhibitor,BRD-K04568635
HCV inhibitor,BRD-K04704168
DNA synthesis inhibitor,BRD-K04725460
bacterial DNA gyrase inhibitor,BRD-K04804440
glutamate receptor antagonist,BRD-K04843140
adrenergic receptor antagonist,BRD-K04956647
osteoclast inhibitor,BRD-K05185389
antioxidant,BRD-K05319475
dipeptidyl peptidase inhibitor,BRD-K05355328
acetylcholine receptor agonist,BRD-K05395900
HCV inhibitor,BRD-K05446112
GLP receptor agonist,BRD-K05505104
adrenergic receptor antagonist,BRD-K05524748
bacterial 30S ribosomal subunit inhibitor,BRD-K05619559
membrane integrity inhibitor,BRD-K05638300
HIV integrase inhibitor,BRD-K05658747
bacterial cell wall synthesis inhibitor,BRD-K05673000
sodium/glucose cotransporter inhibitor,BRD-K05850076
ATPase inhibitor,BRD-K05900209
TRPV agonist,BRD-K05907307
sterol demethylase inhibitor,BRD-K05977355
nitric oxide precursor,BRD-K06033833
membrane permeability inhibitor,BRD-K06152156
acetylcholine receptor antagonist,BRD-K06181161
sterol demethylase inhibitor,BRD-K06222852
non-nucleoside reverse transcriptase inhibitor,BRD-K06240250
adrenergic receptor agonist,BRD-K06335600
dopamine receptor agonist,BRD-K06388322
hypoxia inducible factor inhibitor,BRD-K06455935
voltage-gated calcium channel ligand,BRD-K06502269
microtubule inhibitor,BRD-K06519765
tubulin polymerization inhibitor,BRD-K06519765
cytochrome P450 inhibitor,BRD-K06557128
serine protease inhibitor,BRD-K06674495
chelating agent,BRD-K06878038
serotonin receptor agonist,BRD-K06895174
bacterial cell wall synthesis inhibitor,BRD-K06900071
KATP activator,BRD-K06902185
Kir6 channel (KATP) activator,BRD-K06902185
vasodilator,BRD-K06902185
dopamine receptor antagonist,BRD-K06980535
bacterial 30S ribosomal subunit inhibitor,BRD-K07166362
dihydrofolate reductase inhibitor,BRD-K07208025
calcium channel blocker,BRD-K07220430
monoamine oxidase inhibitor,BRD-K07237224
chelating agent,BRD-K07265709
topoisomerase inhibitor,BRD-K07265709
sterol demethylase inhibitor,BRD-K07400595
gonadotropin inhibitor,BRD-K07441213
NFkB pathway inhibitor,BRD-K07572174
cyclooxygenase inhibitor,BRD-K07572174
histone acetyltransferase inhibitor,BRD-K07572174
lipoxygenase inhibitor,BRD-K07572174
bacterial DNA gyrase inhibitor,BRD-K07612980
contraceptive agent,BRD-K07625016
bacterial cell wall synthesis inhibitor,BRD-K07712545
steroid,BRD-K07785030
opioid receptor antagonist,BRD-K07857022
hemozoin biocrystallization inhibitor,BRD-K07940445
bacterial 30S ribosomal subunit inhibitor,BRD-K08033334
bacterial 50S ribosomal subunit inhibitor,BRD-K08111712
thymidylate synthase inhibitor,BRD-K08151102
mTOR inhibitor,BRD-K08177763
DNA replication inhibitor,BRD-K08206212
nucleoside reverse transcriptase inhibitor,BRD-K08206212
vitamin D receptor agonist,BRD-K08251020
cyclooxygenase inhibitor,BRD-K08252256
serotonin receptor agonist,BRD-K08255599
tubulin polymerization inhibitor,BRD-K08273968
acetylcholinesterase inhibitor,BRD-K08303368
bacterial 30S ribosomal subunit inhibitor,BRD-K08327065
adrenergic receptor agonist,BRD-K08356259
bacterial DNA gyrase inhibitor,BRD-K08525451
topoisomerase inhibitor,BRD-K08547377
prostanoid receptor antagonist,BRD-K08586861
dopamine receptor antagonist,BRD-K08619574
bone resorption inhibitor,BRD-K08681769
adrenergic receptor antagonist,BRD-K08806317
serotonin receptor antagonist,BRD-K08924299
tyrosinase inhibitor,BRD-K08976401
topoisomerase inhibitor,BRD-K08999871
cyclooxygenase inhibitor,BRD-K09090523
chelating agent,BRD-K09255212
HMGCR inhibitor,BRD-K09416995
bacterial DNA gyrase inhibitor,BRD-K09471561
T-type calcium channel blocker,BRD-K09549677
adenylyl cyclase activator,BRD-K09602097
cytochrome P450 inhibitor,BRD-K09631521
HCV inhibitor,BRD-K09735259
HIV protease inhibitor,BRD-K09757388
chelating agent,BRD-K09821361
acetylcholine receptor antagonist,BRD-K09859624
RAF inhibitor,BRD-K09951645
HIV protease inhibitor,BRD-K09963420
glucocorticoid receptor agonist,BRD-K09968782
laxative,BRD-K10065684
DNA synthesis inhibitor,BRD-K10180294
bacterial DNA gyrase inhibitor,BRD-K10196357
bacterial permeability inducer,BRD-K10207760
nootropic agent,BRD-K10314788
topoisomerase inhibitor,BRD-K10362825
microtubule inhibitor,BRD-K10384176
anticonvulsant,BRD-K10667240
cyclooxygenase inhibitor,BRD-K10670311
dihydropteroate synthetase inhibitor,BRD-K10671814
acetylcholinesterase inhibitor,BRD-K10706131
bacterial 50S ribosomal subunit inhibitor,BRD-K10759270
angiotensin converting enzyme inhibitor,BRD-K10784860
glucocorticoid receptor agonist,BRD-K10799896
bacterial DNA gyrase inhibitor,BRD-K10836013
cyclooxygenase inhibitor,BRD-K10843433
prostanoid receptor antagonist,BRD-K10843433
bone resorption inhibitor,BRD-K10845183
osteoclast inhibitor,BRD-K10845183
catechol O methyltransferase inhibitor,BRD-K10852020
adrenergic receptor antagonist,BRD-K10906636
prostanoid receptor agonist,BRD-K10961822
protein synthesis inhibitor,BRD-K10974103
dopamine receptor antagonist,BRD-K10995081
HCV inhibitor,BRD-K11072003
radiopaque medium,BRD-K11099631
bacterial cell wall synthesis inhibitor,BRD-K11124378
lipoprotein lipase activator,BRD-K11129031
bacterial DNA gyrase inhibitor,BRD-K11196887
melanin inhibitor,BRD-K11227669
NAD precursor,BRD-K11256763
ALK tyrosine kinase receptor inhibitor,BRD-K11267252
cholinesterase inhibitor,BRD-K11292736
protein synthesis inhibitor,BRD-K11298197
AMPK activator,BRD-K11399644
cyclooxygenase inhibitor,BRD-K11433652
angiotensin converting enzyme inhibitor,BRD-K11466259
mucus protecting agent,BRD-K11510141
glucocorticoid receptor agonist,BRD-K11612998
thymidylate synthase inhibitor,BRD-K11630072
PABA antagonist,BRD-K11640013
chloride channel blocker,BRD-K11717138
histamine receptor antagonist,BRD-K11742128
bacterial DNA inhibitor,BRD-K11756522
bacterial 30S ribosomal subunit inhibitor,BRD-K11905747
thymidine phosphorylase inhibitor,BRD-K11973162
nitric oxide donor,BRD-K12014493
monoamine oxidase inhibitor,BRD-K12102668
sulfonylurea,BRD-K12219985
tubulin polymerization inhibitor,BRD-K12251893
MEK inhibitor,BRD-K12343256
cyclooxygenase inhibitor,BRD-K12513978
acetylcholine receptor antagonist,BRD-K12539416
analgesic agent,BRD-K12568846
membrane permeability inhibitor,BRD-K12609457
phosphodiesterase inhibitor,BRD-K12742203
11-beta hydroxysteroid dehydrogenase inhibitor,BRD-K12765235
steroidal progestin,BRD-K12872829
microtubule inhibitor,BRD-K12906202
tubulin polymerization inhibitor,BRD-K12906202
glucocorticoid receptor agonist,BRD-K12955147
cyclooxygenase inhibitor,BRD-K12994359
monoamine oxidase inhibitor,BRD-K13032584
membrane integrity inhibitor,BRD-K13044802
thiazide diuretic,BRD-K13078532
DNA synthesis inhibitor,BRD-K13112821
anti-pneumocystis agent,BRD-K13183738
other antifungal,BRD-K13238168
benzodiazepine receptor agonist,BRD-K13249881
cannabinoid receptor antagonist,BRD-K13296708
histamine receptor antagonist,BRD-K13314656
other antifungal,BRD-K13330768
carbonic anhydrase inhibitor,BRD-K13356952
ATPase inhibitor,BRD-K13387373
phosphodiesterase inhibitor,BRD-K13414800
mTOR inhibitor,BRD-K13514097
calcineurin inhibitor,BRD-K13533483
antimalarial agent,BRD-K13664493
bacterial cell wall synthesis inhibitor,BRD-K13797099
cyclooxygenase inhibitor,BRD-K13800121
HDAC inhibitor,BRD-K13810148
topoisomerase inhibitor,BRD-K13843533
phosphodiesterase inhibitor,BRD-K13926615
adrenergic receptor agonist,BRD-K14003026
bacterial cell wall synthesis inhibitor,BRD-K14079729
bacterial antifolate,BRD-K14116214
acetylcholine receptor antagonist,BRD-K14127446
dipeptidyl peptidase inhibitor,BRD-K14171291
beta lactamase inhibitor,BRD-K14312455
vitamin B,BRD-K14349461
adenosine receptor agonist,BRD-K14395568
topical sunscreen agent,BRD-K14401183
dopamine receptor agonist,BRD-K14496212
progestogen hormone,BRD-K14619660
somatostatin receptor agonist,BRD-K14681867
topoisomerase inhibitor,BRD-K14704277
dihydropteroate synthase inhibitor,BRD-K14705039
chemoreceptor agonist,BRD-K14993104
histamine receptor antagonist,BRD-K15010214
antifibrinolytic,BRD-K15014948
plasminogen activator inhibitor,BRD-K15014948
ribonucleotide reductase inhibitor,BRD-K15108141
proteasome inhibitor,BRD-K15179879
isoleucyl-tRNA synthetase inhibitor,BRD-K15262564
thrombin inhibitor,BRD-K15318383
androgen receptor agonist,BRD-K15360631
estrogen receptor agonist,BRD-K15360631
adrenergic receptor antagonist,BRD-K15380626
T-type calcium channel blocker,BRD-K15409150
NFkB pathway inhibitor,BRD-K15426076
cyclooxygenase inhibitor,BRD-K15426076
non-nucleoside reverse transcriptase inhibitor,BRD-K15502390
bacterial cell wall synthesis inhibitor,BRD-K15514357
sodium/glucose cotransporter inhibitor,BRD-K15563106
phosphodiesterase inhibitor,BRD-K15567136
sodium/chloride cotransporter inhibitor,BRD-K15567837
DNA alkylating agent,BRD-K15656090
"nuclear factor erythroid derived, like (NRF2) activator",BRD-K15697815
bacterial cell wall synthesis inhibitor,BRD-K15766189
HIV integrase inhibitor,BRD-K15891719
nucleoside reverse transcriptase inhibitor,BRD-K15891719
cytochrome P450 inhibitor,BRD-K15916496
imidazoline receptor ligand,BRD-K15916496
dopamine receptor agonist,BRD-K15933101
DNA polymerase inhibitor,BRD-K15976406
cyclooxygenase inhibitor,BRD-K16077845
ATP synthase inhibitor,BRD-K16136380
adrenergic receptor agonist,BRD-K16195444
dopamine receptor antagonist,BRD-K16277217
leukotriene receptor antagonist,BRD-K16444452
phosphodiesterase inhibitor,BRD-K16444452
acetylcholine receptor antagonist,BRD-K16484091
NFkB pathway inhibitor,BRD-K16546375
RNA polymerase inhibitor,BRD-K16547679
oxazolidine antiepileptic,BRD-K16606819
FGFR inhibitor,BRD-K16730910
KIT inhibitor,BRD-K16730910
PDGFR tyrosine kinase receptor inhibitor,BRD-K16730910
RAF inhibitor,BRD-K16730910
RET tyrosine kinase inhibitor,BRD-K16730910
VEGFR inhibitor,BRD-K16730910
antioxidant,BRD-K16742848
estrogen receptor agonist,BRD-K17016787
DNA inhibitor,BRD-K17068645
opioid receptor antagonist,BRD-K17075857
PABA antagonist,BRD-K17205817
cyclooxygenase inhibitor,BRD-K17219082
ATP synthase inhibitor,BRD-K17223896
dopamine receptor antagonist,BRD-K17294426
adrenergic receptor agonist,BRD-K17311468
serotonin receptor agonist,BRD-K17311468
nucleoside reverse transcriptase inhibitor,BRD-K17443395
GABA receptor positive allosteric modulator,BRD-K17458574
bacterial cell wall synthesis inhibitor,BRD-K17480742
acetylcholine receptor antagonist,BRD-K17498618
chelating agent,BRD-K17518951
potassium channel blocker,BRD-K17561142
muscle relaxant,BRD-K17565903
antiprotozoal agent,BRD-K17641316
HDAC inhibitor,BRD-K17743125
angiogenesis inhibitor,BRD-K17849083
prostaglandin receptor agonist,BRD-K17850764
bacterial cell wall synthesis inhibitor,BRD-K17903788
antitussive,BRD-K17977438
monoamine oxidase inhibitor,BRD-K17979676
carbonic anhydrase inhibitor,BRD-K18131774
11-beta hydroxysteroid dehydrogenase inhibitor,BRD-K18135438
FXR agonist,BRD-K18135438
adrenergic receptor agonist,BRD-K18194590
local anesthetic,BRD-K18250272
glutamate receptor antagonist,BRD-K18324993
adrenergic receptor agonist,BRD-K18423410
protein synthesis inhibitor,BRD-K18552138
bacterial cell wall synthesis inhibitor,BRD-K18574842
folate receptor ligand,BRD-K18673820
dopamine precursor,BRD-K18749874
dopamine receptor agonist,BRD-K18749874
acetylcholine release enhancer,BRD-K18779551
acetylcholine receptor agonist,BRD-K18855837
dopamine receptor antagonist,BRD-K18895904
serotonin receptor antagonist,BRD-K18895904
estrogen receptor agonist,BRD-K18910433
acetylcholinesterase inhibitor,BRD-K18922609
DNA polymerase inhibitor,BRD-K18948558
PPAR receptor agonist,BRD-K19111024
other antifungal,BRD-K19189338
indicator dye,BRD-K19227686
dopamine receptor antagonist,BRD-K19352500
adenylyl cyclase activator,BRD-K19388745
dipeptidyl peptidase inhibitor,BRD-K19416115
acetylcholine receptor agonist,BRD-K19456237
adrenergic receptor antagonist,BRD-K19462402
calcium channel blocker,BRD-K19462402
progesterone receptor agonist,BRD-K19507340
cyclooxygenase inhibitor,BRD-K19515365
EGFR inhibitor,BRD-K19687926
prostanoid receptor agonist,BRD-K19706299
potassium channel blocker,BRD-K19741547
PABA antagonist,BRD-K19742012
cytochrome P450 inhibitor,BRD-K19761926
smoothened receptor antagonist,BRD-K19796430
histamine receptor agonist,BRD-K20075662
voltage-gated sodium channel blocker,BRD-K20079257
norepinephrine transporter inhibitor,BRD-K20141153
acetylcholine receptor antagonist,BRD-K20168442
GABA transaminase inhibitor,BRD-K20313525
bacterial cell wall synthesis inhibitor,BRD-K20338176
norepinephrine precursor,BRD-K20372197
antioxidant,BRD-K20482099
capillary stabilizing agent,BRD-K20482099
nitric oxide scavenger,BRD-K20482099
neuromuscular blocker,BRD-K20672254
phosphodiesterase inhibitor,BRD-K20745393
synthetic estrogen,BRD-K20801936
DNA synthesis inhibitor,BRD-K20902145
immunosuppressant,BRD-K20920669
apoptosis stimulant,BRD-K21045639
acetylcholine receptor agonist,BRD-K21123171
